gene,spearman_r,p_value,n_samples
EVI5,0.3723,0.001772252719795782,68
ZC3H7A,0.3723,0.0005721052073552177,82
DPY19L4,0.3721,0.0008619384603123868,77
SCAI,0.3721,0.0005778939651479546,82
UBE2J1,0.3721,0.0005778184443653008,82
RABEPK,0.3721,0.001783283797619839,68
SRSF2,0.372,0.0005779533065995925,82
GAREM1,0.3717,0.08071984528401277,23
YWHAE,0.3717,0.0005856331141708229,82
CUX1,0.3716,0.0005883253549703038,82
CHMP5,0.3716,0.0005874704290932175,82
RFFL,0.3714,0.19102081204361632,14
PELI2,0.3714,0.013066669626583136,44
WDR6,0.3714,0.0005921698725121971,82
CHMP4C,0.3713,0.0015549597295206686,70
MTHFR,0.3712,0.0005962761359651793,82
LMBRD1,0.371,0.0006011567779302395,82
LASP1,0.3709,0.0006022611735269084,82
ICMT,0.3709,0.0006035211910371196,82
DDX20,0.3709,0.0006038521275683579,82
SLFN13,0.3707,0.0094989752648076,48
RFT1,0.3706,0.0006100875475156405,82
FHOD1,0.3706,0.0006097535445955602,82
SYT11,0.3705,0.011261299640713813,46
PLA2G6,0.3705,0.014461465888563526,43
DNTTIP2,0.3704,0.0006133364080452244,82
MRPS2,0.3704,0.000614562125744865,82
CRBN,0.3703,0.0006160177044200277,82
RPL7A,0.3703,0.0006157536333071175,82
KIAA1143,0.3702,0.0006194873886234106,82
TFPI,0.3701,0.14367547273095146,17
NEK1,0.3701,0.0010817013637095967,75
CLIC1,0.37,0.0006240242838207899,82
SRSF5,0.37,0.000624255737070049,82
CCT3,0.37,0.0006235268581395449,82
TOR1A,0.37,0.0006220826556882968,82
MARS2,0.37,0.0006224412297374937,82
VPS9D1,0.37,0.17467112381272523,15
PPP2R5B,0.3699,0.026391999260317364,36
ERCC6,0.3699,0.0006253256369315969,82
ALYREF,0.3698,0.0006271927816207895,82
OXLD1,0.3695,0.0011032984321908486,75
XAB2,0.3695,0.0006355380672501821,82
CCDC97,0.3694,0.000636044246358257,82
TRAF6,0.3693,0.000638705426908075,82
CSTF2,0.3692,0.0006413342826097208,82
TXNRD3,0.3692,0.0006405498133941671,82
SORBS1,0.3691,0.0011197781023744634,75
DNAJC16,0.3691,0.09966947602452492,21
NR2C2AP,0.3691,0.0006435394944822156,82
LIX1L,0.3689,0.0006484185131365901,82
GIGYF2,0.3689,0.0006495852931130884,82
PIK3R4,0.3688,0.0006503525747925936,82
TMEM179B,0.3688,0.0006508293266467266,82
EPS15,0.3688,0.000650292288362412,82
CRTC1,0.3688,0.0006501843195536475,82
IGHV1-2,0.3688,0.004754711539015246,57
MFAP1,0.3687,0.0006530994006246804,82
TXNL4B,0.3687,0.0011348743735632133,75
CMC2,0.3687,0.0006538300506646178,82
BET1,0.3687,0.0006540418490985673,82
CELSR2,0.3686,0.0006551569348706202,82
MINDY4,0.3684,0.029426637334404943,35
AKAP17A,0.3684,0.0006613023483621241,82
TAOK3,0.3681,0.0006676680232825977,82
UQCRQ,0.3681,0.0006688314813054397,82
TXNRD1,0.368,0.0035245338734054004,61
ZNF611,0.3678,0.23952786899587417,12
BTAF1,0.3676,0.0006790442195850474,82
GORASP2,0.3676,0.0006792853234132302,82
EHD3,0.3676,0.0006792853234132302,82
MIS12,0.3675,0.0006821828252334836,82
OTULIN,0.3675,0.0006829535934722682,82
PTGS2,0.3675,0.016662689445310182,42
RSRC1,0.3674,0.0006839471912146986,82
OSBP2,0.3674,0.0038751846709531106,60
PAQR7,0.3673,0.005357913176568016,56
EZH1,0.3673,0.05453033212884744,28
MAP3K1,0.3671,0.0033396748148409702,62
LMF1,0.367,0.0022496559459709146,67
URB2,0.367,0.0006941466460214179,82
ABCA10,0.367,0.19673887170748847,14
SP6,0.367,0.19673887170748847,14
CDC42BPG,0.3669,0.00069852367013861,82
TSNAX,0.3669,0.0006983213365384816,82
WDYHV1,0.3668,0.023522183867970663,38
PHF23,0.3665,0.0007068647966864865,82
HPDL,0.3665,0.009586797960638245,49
RAP1GAP2,0.3664,0.006436814453993652,54
WRN,0.3663,0.0010516021665517056,77
STIM2,0.3662,0.0007150349560396283,82
HSH2D,0.3659,0.030654885758233472,35
MINPP1,0.3659,0.000723463815168088,82
COX19,0.3658,0.0007264974462156185,82
DNAJC2,0.3658,0.0007255116296123923,82
SLC4A1AP,0.3657,0.0007290739693042393,82
POLR3GL,0.3657,0.003206359143319973,63
ZFC3H1,0.3657,0.0007291788400039781,82
DTD1,0.3657,0.0007298821757348612,82
SPG11,0.3655,0.0007348015415258131,82
ARHGAP25,0.3655,0.055828061088373876,28
UBE2R2,0.3654,0.000735668418128055,82
TONSL,0.3654,0.0007371710238566608,82
NADK,0.3654,0.0007376167334341292,82
RPS16,0.3654,0.0007378285410069006,82
BNIP3L,0.3654,0.0027606268430561322,65
LMO4,0.3654,0.0007369064795041666,82
RBM5,0.3653,0.0007402822919344607,82
FMNL1,0.3652,0.000741555065496101,82
PRKRIP1,0.3652,0.0007407829903808184,82
COL26A1,0.3652,0.199106457610141,14
ZBTB47,0.3652,0.047184960515419476,30
MRPL47,0.3651,0.0007449477578350783,82
ATP1A1,0.365,0.0007479029298980045,82
LARP7,0.3649,0.0007512731060407711,82
SMIM19,0.3649,0.011683498346540692,47
CASQ2,0.3649,0.026397276233755776,37
SRSF4,0.3649,0.0007492364895137859,82
UGGT2,0.3648,0.0011057092326622142,77
CXCL17,0.3647,0.16486839724475397,16
ATP6V0A2,0.3646,0.000757725866506734,82
CMTM3,0.3645,0.003581351542445667,62
SLC4A1,0.3645,0.0007600332455331315,82
FNTA,0.3645,0.0007617061337193981,82
TARBP1,0.3644,0.0007624901586642066,82
OGFOD3,0.3643,0.0007654573014473723,82
TMEM14C,0.3643,0.0007661128348281838,82
WDR75,0.3642,0.0007703229471701894,82
CCDC61,0.3642,0.031488175384175254,35
C1orf198,0.3642,0.0007690082732798234,82
PLSCR3,0.3641,0.0007713648148244153,82
CDC34,0.364,0.0007741953842142492,82
UBE2O,0.3639,0.0007763460513326886,82
DPEP1,0.3639,0.03164166474020931,35
EPG5,0.3639,0.0007785020058593963,82
HDAC6,0.3638,0.0007816339940524493,82
HTATSF1,0.3638,0.0007814399280399717,82
HYPK,0.3638,0.0007813843672735699,82
SEC31A,0.3636,0.019437053503108363,41
RPUSD4,0.3636,0.004295023104701133,60
ENPP3,0.3635,0.00430108220543159,60
NUP98,0.3635,0.0007885783754643624,82
ATP5F1D,0.3632,0.0007970466076045187,82
SYNJ1,0.3631,0.03779917132300631,33
STT3A,0.3631,0.0007990564220955339,82
MIA3,0.3631,0.0007998220872295026,82
CGREF1,0.363,0.001177552666768043,77
RASSF4,0.3629,0.0013734200404694663,75
VPS13D,0.3629,0.0008070549965453521,82
RPL10,0.3628,0.0008098903946586673,82
C5orf24,0.3628,0.0008075422000682323,82
ANOS1,0.3627,0.01554703775948268,44
PTPN22,0.3626,0.2025645438172416,14
EFHC1,0.3626,0.053214971646042865,29
FAM160B2,0.3626,0.0013903234565152147,75
PERP,0.3624,0.12726320257984852,19
MTOR,0.362,0.0008329606665948438,82
NOTCH3,0.362,0.0008335496986310851,82
KIAA0513,0.362,0.013436478581557632,46
FHL5,0.3619,0.027715235208708614,37
LLGL2,0.3618,0.0041717514760561585,61
CCDC25,0.3616,0.0008435874030049462,82
MRPL42,0.3614,0.0008511262234306211,82
TM4SF1,0.3614,0.00144405808900382,75
DMKN,0.3614,0.011605710699060344,48
