gene,spearman_r,p_value,n_samples
PPHLN1,0.3728,1.4104142445952656e-06,158
TAOK2,0.3725,1.4329841363459443e-06,158
NKAP,0.3723,1.4541015512428725e-06,158
ZBTB24,0.3723,0.003126980929526526,61
PPCS,0.3722,1.4642496584652308e-06,158
TCHHL1,0.3722,0.007774577098413686,50
EP300,0.3721,1.4781207534812702e-06,158
IDS,0.3721,1.4813792045056567e-06,158
CHCHD3,0.372,1.4900507362106278e-06,158
SEC14L1,0.3719,1.4997036456494579e-06,158
NSD3,0.3719,3.365837955124644e-05,118
TEAD3,0.3718,1.5091879097137264e-06,158
PTDSS2,0.3718,1.5139795079821096e-06,158
NUDT14,0.3714,1.5504818164042913e-06,158
NR1D1,0.3713,0.0002690071557538278,92
RBAK,0.3713,0.06764063056531663,25
CUL9,0.3713,1.5603359277116723e-06,158
ZBTB1,0.3712,1.5722143780780717e-06,158
SLC25A15,0.3711,3.526378745943393e-05,118
NFATC3,0.3711,2.712019356260566e-06,151
TAF4,0.3711,1.5881676840234785e-06,158
PPIC,0.371,1.5911059847543237e-06,158
UQCC1,0.371,1.592545222182546e-06,158
TMEM41B,0.3709,1.6097181798615483e-06,158
PIGU,0.3708,1.6149640367411278e-06,158
ATP6V1D,0.3706,1.6401080654147701e-06,158
MPHOSPH10,0.3705,1.653455478385544e-06,158
TMBIM6,0.3704,1.6676967014108158e-06,158
MFHAS1,0.3704,0.002390393315458245,65
KATNBL1,0.3703,0.0017370264055923507,69
DUSP7,0.3703,0.000991747865451695,76
POLR2K,0.3703,1.6817518847540877e-06,158
CHAMP1,0.3702,1.682160412601661e-06,158
ADNP2,0.3702,0.0005284295881263028,84
CALCOCO1,0.3701,1.701778514238037e-06,158
SVBP,0.37,1.084863422029259e-05,134
PPWD1,0.37,1.7104314966921353e-06,158
GRAMD2B,0.37,0.0010019085919318288,76
RAB5IF,0.3699,3.706201116175295e-06,148
L2HGDH,0.3699,1.7234687669805883e-06,158
CDKN2B,0.3697,0.00207730124636776,67
MBD1,0.3697,1.7497148495827207e-06,158
SEPTIN11,0.3696,1.7590676543228451e-06,158
NSL1,0.3696,1.7550287397459371e-06,158
LUC7L,0.3694,1.778533376711318e-06,158
PSMC3,0.3694,1.7893502124257518e-06,158
NRIP2,0.3693,6.088384522972169e-06,142
SMYD5,0.3693,1.7922399522640367e-06,158
FBXL20,0.3692,1.8136097929640703e-06,158
PDZD8,0.3691,1.820820075175571e-06,158
ARF4,0.3689,1.8479282100299743e-06,158
EXOC7,0.3689,1.8439951581627022e-06,158
FMNL3,0.3687,0.003741673142441899,60
TAZ,0.3687,0.007148019220698654,52
TMEM179B,0.3686,6.378935064108108e-06,142
ALKBH4,0.3686,1.8874535326736279e-06,158
MDH1,0.3686,1.8880009456458202e-06,158
SF3A1,0.3685,1.8946598040811849e-06,158
ZNF22,0.3685,1.89579248718636e-06,158
LYSMD1,0.3685,2.1744376209111346e-05,126
SEMA4C,0.3684,1.0999231346893017e-05,135
LEMD2,0.3684,1.9161544257836026e-06,158
SURF6,0.3682,1.9337757161740767e-06,158
ATAD1,0.3682,1.939406103409289e-06,158
SEMA3F,0.3682,0.00014056394943261406,102
PNPLA6,0.3681,1.9491073480950495e-06,158
CWF19L2,0.3681,3.5808080570515237e-06,150
GOLGA3,0.3681,1.951374394192948e-06,158
CHST3,0.3681,0.00011173232800363023,105
MEPCE,0.368,1.9636993739980645e-06,158
DENND11,0.3679,1.2267205953939512e-05,134
SF3B2,0.3678,1.9976082654808745e-06,158
INTS4,0.3677,2.00785744038537e-06,158
RRN3,0.3677,3.973080038592244e-06,149
GORASP1,0.3676,2.0164400846068458e-06,158
DUSP11,0.3676,3.438225206845886e-06,151
NUDT5,0.3676,2.0255000390264975e-06,158
UGT3A2,0.3676,0.1612323576755898,16
SMAD1,0.3675,2.0358613165682025e-06,158
CSF1,0.3675,0.00018285274367619802,99
USP46,0.3675,2.1355274441471625e-05,127
LIAS,0.3674,4.595267663190654e-05,117
POLR3A,0.3674,2.044636175505651e-06,158
SAP30,0.3673,2.066752650155711e-06,158
ULBP2,0.3672,2.3444082320041708e-05,126
RAPGEF3,0.3671,0.015453008217649767,43
EBF1,0.3671,0.00423239237002495,59
ACYP1,0.3671,2.0896844939602707e-06,158
COLGALT2,0.367,0.0198454708485033,40
SIGLEC10,0.367,4.35108091332451e-05,118
CFP,0.3669,2.1124815123009427e-06,158
WDR33,0.3669,2.119387739867432e-06,158
DYRK1A,0.3669,2.1156234793716406e-06,158
FCRL5,0.3667,0.003113830154071517,63
SH3BGRL,0.3667,2.1529345103887693e-06,158
ETV3,0.3667,2.146830938635898e-06,158
CENPQ,0.3664,0.0050574936789045165,57
VEZF1,0.3663,2.2125271479517824e-06,158
GPATCH11,0.3662,2.2238354675187977e-06,158
BPTF,0.3662,2.2311312272343118e-06,158
SLC29A3,0.3662,0.007578198186403529,52
MAT2A,0.3661,2.2437264320557e-06,158
DTWD2,0.366,1.3691860274130273e-05,134
MARCHF7,0.366,9.070936643477201e-05,109
FOXN3,0.3659,0.0005736774645707024,85
RLIM,0.3658,4.160139709984068e-06,150
HSD17B7,0.3658,2.2833255161055077e-06,158
LPAR2,0.3657,0.014651294990102303,44
ERCC4,0.3657,2.2947876380530707e-06,158
CNOT6L,0.3656,2.3212127148633786e-06,158
DYM,0.3656,2.3151422496157632e-06,158
GNAO1,0.3655,2.3325327803954653e-06,158
SPEN,0.3655,2.329708806328221e-06,158
CD70,0.3654,0.07248196046410411,25
SLC6A6,0.3654,0.028419063227471255,36
TMEM176B,0.3654,8.655340138011008e-05,110
CALR,0.3654,2.3465298800975217e-06,158
DHX37,0.3653,2.3659478132067686e-06,158
TRMT1L,0.3651,2.4039918640817555e-06,158
IGLV9-49,0.3651,2.3910723022679466e-06,158
C15orf41,0.3651,0.03375753549650226,34
MEF2A,0.3651,4.7913108375423965e-05,118
N4BP2,0.365,4.078755380514807e-06,151
RASSF10,0.3649,0.00017560972062747674,101
PTGES2,0.3649,2.4342003127892816e-06,158
BIRC2,0.3649,2.428706066133773e-06,158
COG6,0.3647,2.4716352193678695e-06,158
ARFGAP2,0.3647,2.463664576589698e-06,158
ULK1,0.3647,7.523259968594756e-06,143
CDC42EP1,0.3647,2.456362718347879e-06,158
TARBP2,0.3647,2.4715221431521715e-06,158
ZC3H14,0.3646,2.4831231604420645e-06,158
VIPAS39,0.3645,2.505864361156039e-06,158
RPGRIP1L,0.3645,0.0003281207677592775,93
CNOT8,0.3645,2.502768005770784e-06,158
MYH13,0.3643,5.313833592482705e-06,148
