gene,spearman_r,p_value,n_samples
PRPF6,0.5562,5.1108275438046494e-11,119
PTPN6,0.5561,5.1929497670230797e-11,119
MMAB,0.556,5.237456578251183e-11,119
SCYL3,0.5558,5.3237640030295396e-11,119
MFAP4,0.5557,5.374863660423576e-11,119
KTN1,0.5555,5.4856307024998367e-11,119
RMDN1,0.5555,5.4938425350090935e-11,119
EIF3B,0.5554,5.561540758655163e-11,119
DCDC2,0.5554,2.3313277417103272e-05,51
TTC5,0.5554,5.516670365468245e-11,119
CREB5,0.5553,2.3255448314027023e-07,75
CSTF2,0.5553,5.594371567273096e-11,119
CCR6,0.5553,0.01673527538632445,18
AFAP1,0.5553,5.57123468613481e-11,119
KCNAB2,0.5552,5.026094982808757e-06,59
BIRC3,0.5552,0.0009722614114692998,32
SBDS,0.5552,5.652029766771995e-11,119
BCL2L14,0.555,2.3729613663094802e-05,51
RAB17,0.555,5.753050523650394e-11,119
CARHSP1,0.5549,5.7828247440978785e-11,119
PGM1,0.5549,5.837188374842233e-11,119
RTN4IP1,0.5549,5.825815433151062e-11,119
TNXB,0.5549,5.830432422070819e-11,119
TIMM50,0.5549,5.833092850049027e-11,119
SORT1,0.5549,5.7906060729867916e-11,119
KIAA1143,0.5547,5.915082018914352e-11,119
SPIDR,0.5547,5.939612383225579e-11,119
ENPEP,0.5546,5.994909979951103e-11,119
PRKAR1B,0.5546,2.2376115274194645e-10,112
BBS5,0.5545,0.0032876783498042546,26
PRRX2,0.5545,1.997116490011676e-06,64
DARS2,0.5544,6.10980356474415e-11,119
DNM2,0.5544,6.098209474220232e-11,119
SNX30,0.5544,6.079231465071271e-11,119
NPM1,0.5544,6.092204668221574e-11,119
GOLGA4,0.5543,6.132913627530296e-11,119
USP9X,0.5543,6.153065811795891e-11,119
LONP2,0.5542,6.2080630454273e-11,119
MFAP2,0.5541,6.257492620812884e-11,119
CYB5R4,0.5541,6.281532108033922e-11,119
AGAP2,0.554,2.3571087074930213e-10,112
ESPNL,0.5539,0.021049824867067704,17
CPEB4,0.5539,6.388087356142331e-11,119
LANCL2,0.5539,6.384987704586316e-11,119
TESK2,0.5539,2.866947668391413e-10,111
PALM3,0.5538,2.4897378493150876e-05,51
CUEDC1,0.5538,6.45994264317417e-11,119
SALL2,0.5537,4.876562245722758e-09,96
GSKIP,0.5537,6.487753569266319e-11,119
PDZD2,0.5537,1.4554050715453418e-07,78
C1S,0.5536,6.606380263612625e-11,119
QARS1,0.5535,6.637430783458597e-11,119
ACE,0.5535,6.653379627551491e-11,119
PYCR2,0.5533,6.788733496118797e-11,119
GRB2,0.5533,6.794255871304409e-11,119
TIMM8A,0.5533,6.795381879512844e-11,119
SYNCRIP,0.5533,6.765559982270288e-11,119
CTSF,0.5533,6.772140325908876e-11,119
CASD1,0.5532,1.029662643711546e-07,80
GNL3,0.5532,6.851905366517237e-11,119
NYNRIN,0.5532,3.2015404913440564e-07,74
CLIC5,0.5532,6.463441525238385e-10,107
LRRC42,0.5529,7.060002968527856e-11,119
KIAA0319L,0.5529,7.048338637340757e-11,119
SYNGR3,0.5529,0.026314499870666506,16
SLC2A5,0.5528,2.632117625107478e-06,63
SERPINB6,0.5528,7.086540362471987e-11,119
