gene,spearman_r,p_value,n_samples
PTPN6,0.9085,2.8328737368410262e-71,185
CCDC88A,0.9085,2.9952880346448163e-71,185
AOC1,0.9081,4.377810256086046e-71,185
OCLN,0.9078,5.630929133593102e-71,185
SORT1,0.9074,8.54822678089742e-71,185
A1CF,0.9073,9.194063065903777e-71,185
CSTA,0.9069,1.322181398705382e-67,177
ARHGEF10,0.9067,1.5207506068833615e-70,185
NIBAN1,0.9066,1.6866428979665292e-70,185
GBP1,0.9066,1.818077750120573e-70,185
SH3PXD2B,0.9064,2.1133388378177793e-70,185
PLEKHA2,0.9062,2.4265016476931536e-70,185
NCF1,0.9061,2.7037745383940128e-70,185
HLA-DRA,0.9053,5.860608289362213e-70,185
FCER1G,0.9053,5.851854398121404e-70,185
INPP5D,0.9053,5.689686142936241e-70,185
HK3,0.9052,6.133402246290064e-70,185
CYBB,0.9051,6.894635534878032e-70,185
LRRC25,0.9051,1.5672254062479556e-63,168
GPD1,0.905,8.031984417981129e-70,185
RGS10,0.905,7.854370776866518e-70,185
CENPV,0.9048,9.216968628753788e-70,185
CD74,0.9046,1.1287883981363719e-69,185
PALM3,0.9046,1.1242678885548402e-69,185
TMSB10,0.9046,1.1150758745605119e-69,185
ARHGAP4,0.9046,1.1293710123814165e-69,185
HSPB8,0.9045,1.2196172129560293e-69,185
JPT2,0.9042,1.6178991971767233e-69,185
DTX3L,0.904,1.8785620895259594e-69,185
FERMT1,0.904,1.8465605516851086e-69,185
ANXA3,0.9039,2.158268224663578e-69,185
COL14A1,0.9038,2.2230749184882796e-69,185
PLCB1,0.9036,2.692652357919875e-69,185
SPIRE1,0.9035,3.113775659312151e-69,185
MMRN2,0.9035,2.875941648026147e-69,185
NAALADL2,0.9034,6.64737442374974e-66,176
TBXAS1,0.9033,3.475255643125727e-69,185
DOCK4,0.9032,4.072700899713277e-69,185
GRB10,0.9032,3.872156663459698e-69,185
DDB2,0.903,4.739104419542507e-69,185
LAIR1,0.9029,6.181342141401421e-61,163
ANKRD44,0.9028,5.469012531078666e-69,185
PPFIA2,0.9027,6.842517694436766e-10,25
ITGA5,0.9026,6.621845449423262e-69,185
RAB29,0.9025,7.465090721686659e-69,185
FGF1,0.9025,7.119895303175193e-69,185
STK39,0.9025,7.382257633808395e-69,185
CMBL,0.9022,9.895861709096208e-69,185
SERPINH1,0.902,1.1581888864233314e-68,185
CUBN,0.9017,1.5045686506509178e-68,185
IQGAP2,0.9017,1.4416208888152688e-68,185
NMI,0.9017,1.5333531766260337e-68,185
TPPP3,0.9016,1.6083867263189661e-68,185
CD4,0.9015,1.8093600422885363e-68,185
MYO1G,0.9014,1.9804012444597083e-68,185
CNP,0.901,2.8500857635033966e-68,185
TBC1D2B,0.901,2.6695708960961606e-68,185
CALU,0.9005,4.237468159324436e-68,185
ESAM,0.9001,6.0318265526071385e-68,185
CMKLR1,0.9,2.0510898633788993e-06,16
IFIH1,0.9,6.4418561347882335e-68,185
BICD1,0.8997,8.796895667967893e-68,185
PLEKHA6,0.8997,8.672667401989465e-68,185
MSR1,0.8996,9.528788294836468e-68,185
CMTM4,0.8993,1.2078588270881253e-67,185
FBP1,0.8993,1.2576347430127296e-67,185
GRAP2,0.8993,9.24229369867754e-65,177
MOXD1,0.899,1.6004498130560446e-67,185
SPARC,0.8989,1.6739879559163915e-67,185
HSPA2,0.8988,1.91214260162517e-67,185
CXCL9,0.8988,4.5030237352059406e-10,26
C1orf116,0.8988,3.243335305586338e-64,176
PLEK,0.8987,1.9999189317594523e-67,185
MAP3K7CL,0.8987,2.675464991633841e-38,104
TM6SF1,0.8984,2.2930865007298548e-35,96
MNDA,0.8977,4.6480200593856606e-67,185
SLC9A9,0.8976,4.983472719356459e-67,185
LPCAT1,0.8975,5.556865306267253e-67,185
IMPDH1,0.8975,5.7821642046259926e-67,185
EHBP1L1,0.8973,6.674353843705975e-67,185
STK4,0.8971,7.729897592229623e-67,185
AFAP1L1,0.8969,9.735279996516088e-67,185
SCD5,0.8966,1.2452594778612202e-66,185
GSTA2,0.8965,1.307756747990185e-66,185
