gene,tumor_r,normal_r,delta_r,abs_delta,direction
RPUSD1,0.3297,-0.6545,0.9842,0.9842,Higher in Tumor
NPHP3,0.1645,-0.7212,0.8856999999999999,0.8856999999999999,Higher in Tumor
ANKRD62,0.0073,0.5827,-0.5754,0.5754,Lower in Tumor
FHDC1,0.0602,0.6727,-0.6124999999999999,0.6124999999999999,Lower in Tumor
CCNO,0.2436,0.8667,-0.6231,0.6231,Lower in Tumor
