gene,spearman_r,p_value,n_samples
PARP2,0.6669,1.9865723556629656e-14,102
CCDC25,0.6669,1.9824797074978016e-14,102
DAAM2,0.6668,7.267210699105007e-13,90
SYNE3,0.6668,1.9915854359840846e-14,102
PPP3CA,0.6668,1.999352065132645e-14,102
CTPS1,0.6666,2.0391120189380376e-14,102
WNK1,0.6666,2.0465927356519522e-14,102
DDHD2,0.6665,2.0839223501986526e-14,102
LAMC2,0.6665,2.0691932222664984e-14,102
ACSM3,0.6664,2.1025880409276013e-14,102
CPNE8,0.6664,2.1025874924379217e-14,102
GIMAP4,0.666,2.195387995152874e-14,102
BDH1,0.6659,2.240959138484827e-14,102
RHBDF1,0.6658,2.2615012996243385e-14,102
TALDO1,0.6658,2.2553220860894808e-14,102
RAB17,0.6658,7.405409198060126e-14,98
TMEM45B,0.6658,2.374886176829273e-10,71
TCEAL4,0.6657,2.2785973711611038e-14,102
MVD,0.6657,2.2759975022766536e-14,102
CCSER1,0.6656,1.1927451176188468e-08,58
SLC27A4,0.6656,2.3010465668649335e-14,102
WRN,0.6656,2.3078809452187473e-14,102
TRIO,0.6656,2.311563934983474e-14,102
HOOK3,0.6655,2.348747074696686e-14,102
PPIF,0.6655,2.3359333920919324e-14,102
KIAA0513,0.6655,2.3476705937491846e-14,102
ACAT1,0.6654,2.384332442610136e-14,102
TMEM176B,0.6653,8.50795822948821e-13,90
EPN3,0.6653,1.1426241817922636e-12,89
RASA2,0.6653,2.4116304687335155e-14,102
SCG3,0.6652,0.004924145748950999,16
TINAGL1,0.6652,2.4198456339347098e-14,102
CAPG,0.6652,2.4237279941087063e-14,102
CRPPA,0.665,2.4783787366946396e-14,102
CCNB1,0.665,8.179388649988136e-14,98
CBR1,0.6649,2.5084303052382062e-14,102
MTHFD1L,0.6649,5.6271056118893356e-08,53
SCARB1,0.6649,2.5124289536065612e-14,102
HSD17B7,0.6647,2.56902729657236e-14,102
PHLDB1,0.6647,2.57721873025676e-14,102
MCRIP2,0.6647,8.462117397777645e-14,98
PNPLA6,0.6646,2.5972153481344603e-14,102
FMO3,0.6646,2.6238504456839307e-14,102
CAND2,0.6646,2.622091390580632e-14,102
VSIG4,0.6646,2.6244499958232732e-14,102
TPD52L2,0.6646,2.597787970954089e-14,102
POLA1,0.6645,2.6562717534890184e-14,102
HABP4,0.6645,2.6526793316514284e-14,102
SVEP1,0.6645,2.6399895748309763e-14,102
VAPB,0.6644,2.6646983599223473e-14,102
CKAP2,0.6644,2.2853827791861047e-12,87
SPC25,0.6644,2.866481268269813e-13,94
PHLDA1,0.6643,2.7073507117558698e-14,102
GSTT2B,0.6643,2.8941059157992515e-13,94
ACADSB,0.6642,2.7295270014783775e-14,102
PRKCE,0.6642,2.730840324759087e-14,102
AJUBA,0.664,2.805425148356567e-14,102
HCK,0.664,2.7934050485598546e-14,102
CILK1,0.664,2.2136583130562726e-06,41
LAMB1,0.6639,2.836776153568804e-14,102
SEC24C,0.6639,2.8361904756546666e-14,102
ARSA,0.6638,2.882806050260239e-14,102
CEP55,0.6638,6.933076974065492e-14,99
NMNAT1,0.6638,2.87703451853895e-14,102
IGHG4,0.6636,2.950000559795484e-14,102
NUDT1,0.6636,2.934750848256852e-14,102
PLPP2,0.6635,3.866991465088457e-10,70
IRF6,0.6635,2.965446697078574e-14,102
FYCO1,0.6635,2.996520292112377e-14,102
CST6,0.6634,3.0099773496814825e-14,102
FAM110C,0.6634,0.00022085447795488241,26
FAM169A,0.6633,9.898450521732014e-14,98
STK3,0.6633,3.064301239703838e-14,102
BPNT1,0.6633,3.0401567147982825e-14,102
DMBT1,0.6631,3.13771873028142e-14,102
TTLL12,0.6631,3.1194164022612047e-14,102
WDR70,0.6631,3.1097400034684026e-14,102
MTM1,0.663,3.14494360935301e-14,102
KCNQ1,0.6629,1.663387631765018e-10,73
LEF1,0.6629,1.4387246325854289e-08,58
SPRTN,0.6629,1.7222078886122814e-06,42
NDE1,0.6629,3.215953614069053e-14,102
KCTD3,0.6628,1.4865908339166422e-12,89
SWAP70,0.6628,3.2436423494154454e-14,102
VPS13D,0.6627,3.2598350758158567e-14,102
KDM3B,0.6627,3.281380069169948e-14,102
FLNB,0.6626,3.325892768237588e-14,102
FURIN,0.6626,3.308638472858126e-14,102
STAB1,0.6626,3.309352988789545e-14,102
IRX5,0.6626,3.906935127439042e-11,78
IGLV10-54,0.6625,1.7610818721606136e-06,42
SYNGR1,0.6625,4.982117227827935e-12,85
COG3,0.6624,3.381856807625938e-14,102
ARHGEF2,0.6623,3.442403279762791e-14,102
MDC1,0.6622,3.501797355720431e-14,102
TMEM119,0.6621,3.5065275744721084e-14,102
SEMA3B,0.662,3.569366302051066e-14,102
TAOK3,0.6619,3.590365665062088e-14,102
SLC9A1,0.6618,3.6357785911109194e-14,102
OPTN,0.6618,3.66616016019732e-14,102
F11R,0.6618,3.638300928110678e-14,102
IKZF2,0.6616,1.2615952311913038e-12,90
TPD52,0.6616,3.7419269938206385e-14,102
SRGAP2,0.6616,3.7563373882272934e-14,102
STK10,0.6615,3.763896294678499e-14,102
DOK4,0.6614,4.855132700383037e-09,62
IGLV4-60,0.6613,1.2533324933707362e-13,98
TFRC,0.6613,3.889094262654169e-14,102
TRIM36,0.6612,1.2621541585948947e-13,98
NOMO3,0.6612,6.623277613719068e-09,61
CACHD1,0.6612,3.933730676132562e-14,102
ADGRE5,0.6611,3.989818138951446e-14,102
RBM47,0.661,3.996296142452075e-14,102
C5orf51,0.661,4.0005595827802837e-14,102
GLOD5,0.6608,1.0201493705336832e-12,91
STARD10,0.6608,4.13520623733095e-14,102
