gene,tumor_r,normal_r,delta_r,abs_delta,direction
CHSY3,0.4989,0.2028,0.2961,0.2961,Higher in Tumor
ZNF627,0.0697,-0.1891,0.2588,0.2588,Higher in Tumor
GPR162,-0.5589,-0.3117,-0.2471999999999999,0.2471999999999999,Lower in Tumor
ZFYVE19,0.1912,0.4406,-0.2493999999999999,0.2493999999999999,Lower in Tumor
RASGEF1B,0.1571,0.4196,-0.2624999999999999,0.2624999999999999,Lower in Tumor
