gene,tumor_r,normal_r,delta_r,abs_delta,direction
MAFK,0.3124,-0.1298,0.4422,0.4422,Higher in Tumor
ADAMTS15,-0.0377,-0.4684,0.4306999999999999,0.4306999999999999,Higher in Tumor
LRP4,0.0236,0.5258,-0.5022000000000001,0.5022000000000001,Lower in Tumor
ELAVL2,0.1257,0.6713,-0.5456,0.5456,Lower in Tumor
BICRAL,-0.1787,0.4584,-0.6371,0.6371,Lower in Tumor
