gene,tumor_r,normal_r,delta_r,abs_delta,direction
KLHL40,-0.0845,-0.4804,0.3959,0.3959,Higher in Tumor
MUC6,0.2714,-0.049,0.3203999999999999,0.3203999999999999,Higher in Tumor
PGAP2,0.4071,0.6264,-0.2192999999999999,0.2192999999999999,Lower in Tumor
SIGLEC6,0.5252,0.7467,-0.2215,0.2215,Lower in Tumor
MYBPC2,0.1108,0.4764,-0.3656,0.3656,Lower in Tumor
