label,n_genes,mean_r,median_r,std_r,pct_positive,pct_high
hnscc_tumor,11158,0.4307,0.4448,0.2608,94.3,42.7
hnscc_normal,10822,0.4367,0.4582,0.2662,93.6,44.4
