gene,spearman_r,p_value,n_samples
UTP18,0.1859,0.027913034294121657,140
BHLHE41,0.1859,0.46028616979659326,18
NR0B1,0.1858,0.37391860156257734,25
C1orf21,0.1858,0.22733259673916095,44
TMEM109,0.1858,0.027918244564742473,140
EXOSC2,0.1857,0.028003567579728158,140
SMG7,0.1856,0.028094459121738833,140
PSME3IP1,0.1856,0.028120983285255145,140
EIF4A1,0.1856,0.028134467209313688,140
NPRL2,0.1856,0.07177321332408332,95
ZHX3,0.1855,0.0346058981927815,130
STRADA,0.1855,0.044312855222828434,118
MPC2,0.1855,0.03535241050292918,129
LANCL2,0.1855,0.028202684258745513,140
RGL2,0.1855,0.02825152992308234,140
SLC20A2,0.1854,0.06340098811236952,101
SF3B1,0.1853,0.028380892787615408,140
HDAC2,0.1852,0.028498937756273105,140
INTS14,0.1852,0.02849438028403678,140
NTHL1,0.1851,0.028523888793878682,140
CHFR,0.185,0.07429076560241528,94
GSE1,0.185,0.045853970507002115,117
CAPZA2,0.185,0.028626860842177856,140
DGCR8,0.1849,0.0352340064215362,130
FLYWCH2,0.1848,0.028826115835704574,140
INPP5A,0.1847,0.02890073138625645,140
EXOSC10,0.1847,0.028872810983729492,140
MYRF,0.1847,0.46306133291799106,18
LEMD3,0.1847,0.02894379405171779,140
NOS1,0.1846,0.044417991901585956,119
IL17RA,0.1846,0.3378067773344503,29
PRSS57,0.1845,0.5104486560257451,15
C9orf78,0.1844,0.029214560362422138,140
SLC8A1,0.1844,0.11831850573845874,73
PPA2,0.1843,0.0292540483835205,140
KNOP1,0.1843,0.035857253212414925,130
DCAF15,0.1842,0.29692275422228637,34
ATPAF1,0.1842,0.029372781143434147,140
RBP2,0.1841,0.029418551249176188,140
AP5S1,0.1841,0.06016294138257367,105
SPPL2B,0.1839,0.10478316857634996,79
NAB2,0.1837,0.029812499981761612,140
BPTF,0.1837,0.029824454324275038,140
NFASC,0.1837,0.04454391333736583,120
SHFL,0.1837,0.029768124566298227,140
PTRHD1,0.1836,0.029909729335241747,140
HECW2,0.1836,0.21677018744303408,47
CENPB,0.1836,0.029882861921358216,140
CHTF18,0.1836,0.08509142916889091,89
PPIL4,0.1835,0.030018097615645636,140
NUP107,0.1834,0.030114394935847315,140
ERG28,0.1834,0.0623540869692726,104
INTS10,0.1833,0.03020007207735843,140
USP11,0.1833,0.03016972051454825,140
TSC1,0.1833,0.03021308865672527,140
FBXL19,0.1833,0.26393852096707554,39
BLZF1,0.1832,0.08400647898668381,90
KLF16,0.1832,0.17264518600344647,57
WDR75,0.1831,0.030401971668125697,140
SF3B6,0.1831,0.030341059090468765,140
ZNF608,0.183,0.12381948333731153,72
KDM4C,0.183,0.1545205178335765,62
SIVA1,0.1829,0.3516504146711379,28
SPTLC1,0.1829,0.030566746713827215,140
RAB27A,0.1829,0.03053673207607156,140
HPS3,0.1829,0.03057200917761508,140
ZNF148,0.1828,0.030610348437599716,140
CRIPT,0.1827,0.030722008687977698,140
DCUN1D3,0.1827,0.03819464504847465,129
CAMK2D,0.1826,0.0487448172908043,117
PPT1,0.1826,0.030796470516832975,140
C1orf122,0.1824,0.030981980530029395,140
PDPR,0.1824,0.03101871485767812,140
CNOT6L,0.1823,0.035049511964638416,134
SNW1,0.1823,0.031126574892275216,140
HLA-A,0.1823,0.031088307916118437,140
RPSA,0.1822,0.031184969486240624,140
SERBP1,0.1822,0.031220899080195458,140
RIOX2,0.1821,0.03132340331834562,140
RMDN2,0.1821,0.03133279139383857,140
ARPC5,0.1821,0.031265742182178084,140
MRPL35,0.182,0.06990640130897967,100
PRKD2,0.182,0.031383601748067314,140
SEC61B,0.1819,0.03152637407868248,140
RNASE1,0.1819,0.031461056641804576,140
TENT4A,0.1818,0.2063617395486463,50
ZNF740,0.1818,0.050859343528928826,116
SLC7A14,0.1818,0.5717012385276553,12
MRPL46,0.1817,0.03162951007531112,140
RCCD1,0.1815,0.04915593834315251,118
ZMPSTE24,0.1815,0.031873812602790326,140
PSMB2,0.1814,0.03199473176301266,140
MPHOSPH8,0.1813,0.03202749601835273,140
PLEKHM2,0.1813,0.03207118478811517,140
CCDC182,0.1812,0.5535684970214577,13
RBMX2,0.1812,0.032175471938578275,140
CARNMT1,0.1812,0.036880483581232734,133
NUDT16L1,0.1811,0.035549622102641655,135
PCF11,0.1809,0.03246320070535044,140
MYO7A,0.1809,0.08794018325795755,90
RANBP9,0.1808,0.03256619298745531,140
DENND10,0.1807,0.03264283019478288,140
KCTD20,0.1807,0.2403423247266452,44
NRM,0.1806,0.07828031689466246,96
ARCN1,0.1806,0.03269426236787397,140
GDAP2,0.1806,0.03273463024680856,140
SYS1,0.1805,0.032802441944895525,140
DCLRE1C,0.1805,0.36772456637180956,27
RBM28,0.1804,0.03296091192761082,140
CUTC,0.1804,0.032944958012706346,140
BIRC3,0.1803,0.4887399736920763,17
MBD6,0.1803,0.26550751443480863,40
FAM98C,0.1801,0.033240843606426346,140
TTC1,0.1801,0.03318494366109042,140
C5orf24,0.1801,0.0332267816417435,140
SNUPN,0.18,0.03328458851514792,140
ACTR3B,0.18,0.03337170558348248,140
HELZ,0.18,0.03335133667464457,140
UBAP1,0.18,0.033324485684962414,140
RBM43,0.1799,0.17263351435212101,59
USP33,0.1799,0.04647964459990758,123
ACTR8,0.1799,0.036860950186324,135
PKNOX1,0.1798,0.05033083296648331,119
NAP1L4,0.1796,0.033774814306911836,140
TIMM13,0.1795,0.033861249215049516,140
TTC9C,0.1795,0.03383218054312944,140
EIF4EBP2,0.1795,0.03386742220742571,140
GTF2H4,0.1794,0.03393041956728734,140
RNF4,0.1794,0.2124544383149643,50
RPL29,0.1793,0.03402281184113117,140
AP3M1,0.1793,0.03401748695573006,140
RAB18,0.1792,0.034154664554439364,140
ATN1,0.1791,0.03425037321861342,140
COP1,0.1791,0.05032107649855853,120
MGAT4B,0.1791,0.19945255402027828,53
EZH1,0.179,0.0826657166586934,95
SDF2L1,0.1789,0.034412199141620796,140
EARS2,0.1789,0.03443387477873399,140
PPP1CB,0.1788,0.034506950358415805,140
GNAQ,0.1788,0.03453364918524786,140
VASH1,0.1788,0.0864224541441654,93
STK16,0.1787,0.18747116767091682,56
POLE,0.1786,0.06312461921150608,109
SELENOM,0.1786,0.034705787334748155,140
SUGP2,0.1785,0.03484239527796052,140
VPS18,0.1785,0.034891465644102386,140
IGLV5-45,0.1785,0.04384958923771326,128
DIXDC1,0.1784,0.10235152625616813,85
SMARCAL1,0.1784,0.03492477948433465,140
TIMMDC1,0.1784,0.03499368002967198,140
IFT22,0.1784,0.04742271520934746,124
PPP2R5B,0.1784,0.05331353793190949,118
SESN3,0.1783,0.404629262071875,24
TM9SF2,0.1783,0.03510687392724139,140
ACTB,0.1783,0.03504175318404241,140
IFITM2,0.1782,0.0675416218756721,106
SMG6,0.1781,0.043443686922296436,129
GTF2F1,0.1778,0.03557624464092356,140
VAC14,0.1777,0.035715037079089566,140
ARL6IP4,0.1777,0.035704614615289225,140
CRTAC1,0.1776,0.03583839997305389,140
GTPBP3,0.1775,0.13857480563542388,71
TAX1BP1,0.1775,0.035935619535143494,140
WDR44,0.1775,0.03589591586152914,140
UHRF1BP1L,0.1774,0.036032920922456364,140
TMED10,0.1774,0.03603860847593198,140
DNAJC5,0.1773,0.036064164774916536,140
TATDN3,0.1773,0.03612374568518688,140
PLEKHA3,0.1771,0.051949017322480875,121
DCAKD,0.1771,0.03636328745704655,140
CLEC14A,0.1771,0.06664848077115626,108
RBMX,0.177,0.036459148259600414,140
NXT1,0.177,0.05524369235700705,118
MED18,0.177,0.04560448387166192,128
RAB1B,0.177,0.03638371853215547,140
PIP,0.1769,0.22392999665202254,49
LCLAT1,0.1769,0.036486720651984904,140
MAN2B2,0.1769,0.03655926358967726,140
CYTH2,0.1768,0.09555383294720965,90
PPP1R11,0.1768,0.03664114493092761,140
LZTFL1,0.1767,0.03673105406945833,140
ARF5,0.1766,0.03689337933141049,140
IMP3,0.1766,0.0368320485026123,140
ARFRP1,0.1765,0.03699062817376179,140
DNAJB9,0.1765,0.042891748130576834,132
INTS11,0.1765,0.0369213286219995,140
LMF1,0.1764,0.03710057369453541,140
ADI1,0.1764,0.03707413104038191,140
NR2F2,0.1764,0.04148986684348246,134
MRPL20,0.1763,0.04080718413635765,135
SKA2,0.1763,0.1817694085919096,59
FTO,0.1761,0.03738065925848568,140
PCNP,0.176,0.03754589384963549,140
