gene,tumor_r,normal_r,delta_r
CLDN12,-0.0139,-0.2086,0.1947
DCTN2,0.2024,0.0078,0.1946
TRAPPC11,0.2411,0.0466,0.1945
FRS2,0.0966,-0.0975,0.1941
USP38,0.5297,0.3357,0.19399999999999995
CEND1,0.1029,-0.0909,0.1938
IK,-0.1354,-0.3289,0.19350000000000003
FCGR3B,0.1787,-0.0138,0.1925
NFKBIE,0.5559,0.3649,0.19099999999999995
SNW1,0.1915,0.0008,0.1907
ETF1,0.4593,0.2689,0.1904
IL6R,0.2146,0.0246,0.19
KIAA0355,0.3647,0.1749,0.18980000000000002
BIRC5,0.3398,0.1502,0.1896
LBH,0.6226,0.4336,0.18900000000000006
RTRAF,0.0414,-0.1474,0.1888
COPS4,0.0593,-0.1293,0.1886
FBRS,0.0118,-0.1767,0.1885
HBG1,0.276,0.088,0.18800000000000003
ZNF281,0.5112,0.3232,0.188
PRRC2C,0.4589,0.2709,0.188
POMT1,0.1582,-0.0292,0.1874
C19orf25,0.1382,-0.0491,0.1873
RNF220,0.1318,-0.0554,0.1872
ZDBF2,0.0097,-0.1775,0.18719999999999998
PABPN1,-0.0189,-0.206,0.1871
MARS2,0.3521,0.1652,0.1869
VPS26C,0.0466,-0.1397,0.1863
BBS7,0.1625,-0.0236,0.18610000000000002
BLZF1,0.4257,0.2398,0.1859
ARHGEF4,0.7744,0.5885,0.18589999999999995
STAMBP,0.5748,0.3889,0.18589999999999995
CSNK2A1,0.365,0.1793,0.1857
BAZ2A,0.3916,0.2059,0.1857
USP53,0.2121,0.0268,0.18530000000000002
TUBB8,-0.2417,-0.4264,0.1847
SH3KBP1,0.3411,0.1564,0.1847
ALDH18A1,0.0802,-0.1044,0.1846
FAM92B,-0.1086,-0.2929,0.1843
ZNF76,0.3727,0.1885,0.18419999999999997
IPMK,0.0587,-0.125,0.1837
PRR14L,0.1642,-0.0194,0.1836
CRY2,0.3712,0.1881,0.18309999999999998
ATP6V0D1,0.519,0.3363,0.18270000000000003
IGLV4-3,0.0185,-0.1638,0.1823
RNF20,0.1823,0.0005,0.1818
IGSF3,0.5674,0.3857,0.18170000000000003
DEAF1,0.0261,-0.1556,0.1817
COPS5,0.0075,-0.1741,0.1816
ELOVL7,0.7067,0.5252,0.1815
TOR1AIP1,0.3657,0.1845,0.18120000000000003
VEGFA,0.8419,0.6607,0.18120000000000003
MAPKAPK2,0.316,0.1349,0.1811
XRCC6,0.15,-0.0311,0.18109999999999998
TXNDC16,0.4121,0.2312,0.18090000000000003
MFAP1,0.065,-0.1158,0.18080000000000002
POLL,0.5212,0.3404,0.18080000000000002
JAK3,0.5976,0.4168,0.18080000000000002
PTPRB,-0.1131,-0.2937,0.1806
RNF223,0.3984,0.2178,0.18059999999999998
AP3M1,0.2223,0.0425,0.1798
SF3B1,0.3146,0.135,0.17959999999999998
ARHGEF7,0.4785,0.2994,0.17909999999999998
MGAT4B,0.3348,0.1557,0.17909999999999998
PET117,0.2403,0.0613,0.17900000000000002
NT5C,0.3025,0.1237,0.1788
SLC25A42,0.4766,0.298,0.17860000000000004
NCL,0.4015,0.2229,0.17860000000000004
MPPE1,0.4674,0.2891,0.17829999999999996
DDX49,0.3589,0.1808,0.1781
GALNT16,0.3179,0.1399,0.17800000000000002
PLEKHS1,0.3315,0.1536,0.17790000000000003
CENPQ,0.2359,0.0581,0.1778
FAM180B,0.2043,0.0272,0.1771
SCNM1,0.4726,0.296,0.17660000000000003
EEF1B2,0.2489,0.0725,0.1764
MT3,0.5368,0.3605,0.17630000000000007
TNMD,-0.0675,-0.2437,0.1762
MYL6B,0.5396,0.3635,0.17609999999999998
ZFR,0.3813,0.2052,0.17609999999999998
SPA17,0.5474,0.3714,0.176
CDK11B,-0.038,-0.2139,0.1759
MED6,0.0047,-0.1708,0.17550000000000002
COX15,0.1355,-0.04,0.17550000000000002
CYP2J2,0.4086,0.2332,0.17540000000000003
RHAG,-0.0178,-0.1931,0.17529999999999998
GEMIN2,0.6081,0.4332,0.1749
CNOT9,0.3309,0.1561,0.17480000000000004
ZNF160,-0.098,-0.2727,0.1747
SLC25A51,0.5233,0.3486,0.17469999999999997
MYPOP,-0.2961,-0.4706,0.17450000000000004
PCK1,-0.0605,-0.2348,0.1743
NUBP2,0.0611,-0.1131,0.17420000000000002
SCRIB,0.1459,-0.0281,0.174
ASB1,0.1491,-0.0245,0.1736
COX20,0.3084,0.1359,0.17250000000000001
CCL16,-0.1101,-0.2824,0.17229999999999998
C4orf33,0.2329,0.0608,0.1721
PACC1,0.2353,0.0636,0.17170000000000002
IGKV3-11,0.1525,-0.0192,0.1717
PRELID3B,0.1668,-0.0044,0.1712
IGHG1,0.5067,0.3357,0.17100000000000004
C20orf194,0.1456,-0.0254,0.171
GYPA,0.0539,-0.1162,0.1701
ZNF865,0.0777,-0.0923,0.16999999999999998
SMR3B,0.0705,-0.0995,0.16999999999999998
PATJ,0.5041,0.3341,0.16999999999999998
IGHV7-81,-0.0838,-0.2537,0.1699
MIGA2,0.1437,-0.0258,0.16949999999999998
TSNAX,0.1642,-0.0048,0.169
TGFBR2,0.4974,0.3285,0.1689
TNFRSF1A,0.3809,0.2122,0.16870000000000002
TECR,0.4012,0.2325,0.1687
NOL8,0.4026,0.2341,0.1685
RPS27,0.2149,0.0465,0.1684
RPL37A,0.0039,-0.1642,0.1681
FPR1,-0.0091,-0.1766,0.1675
MICU3,-0.0339,-0.2012,0.1673
FAM151B,0.3911,0.2239,0.16720000000000002
CRNKL1,0.3564,0.1893,0.1671
NUBP1,0.3881,0.2215,0.1666
MIS18BP1,0.1047,-0.0618,0.1665
BCAS2,-0.0699,-0.2364,0.16649999999999998
IGHV3OR16-9,-0.136,-0.3025,0.16649999999999998
FARSB,0.3702,0.2038,0.16639999999999996
SCYL2,0.545,0.3787,0.16630000000000006
ARPP19,0.412,0.2457,0.16629999999999998
RAPGEF6,0.2219,0.0559,0.16599999999999998
PDP2,0.0748,-0.0911,0.1659
NME4,0.2193,0.0537,0.1656
WASF2,0.1834,0.0181,0.1653
DDI2,0.6792,0.514,0.1652
KCTD15,0.6108,0.4457,0.16510000000000002
KAT14,-0.0591,-0.2241,0.16499999999999998
SNRPB2,0.0267,-0.138,0.1647
SPIRE1,0.5285,0.3639,0.16459999999999997
APOF,0.0002,-0.1642,0.16440000000000002
MFSD4B,0.1113,-0.0529,0.1642
FABP7,0.3319,0.1679,0.16399999999999998
