gene,spearman_r,p_value,n_samples
PSAPL1,0.6364,0.04791172612997544,10
ZNF565,0.6364,0.03528698122006231,11
FAM114A2,0.6364,0.0001187856963724468,31
CLNS1A,0.6363,0.0001192802371147858,31
AMPD3,0.6363,0.0001192802371147858,31
PTK2B,0.6363,0.00011906793530778424,31
SLC29A1,0.6362,0.003405460848026136,19
HSPA4,0.636,0.00012038201121676237,31
KIF14,0.636,0.0014656296060605498,22
TIMM50,0.6357,0.000121457238767161,31
MSH2,0.6356,0.00012192491404963357,31
DDX31,0.6355,0.00012221443626170034,31
FAM76B,0.6355,0.00012217748589725297,31
KIFBP,0.6355,0.00012246761569445383,31
PLEKHA7,0.6354,0.0001227211858704266,31
B3GNT3,0.6353,0.0019722111209717077,21
BTK,0.6351,0.00012407128835734143,31
TMEM40,0.6351,0.0001237774484830556,31
S100A12,0.6351,0.00012403319884108673,31
LBH,0.635,0.0001243276536609074,31
DIP2A,0.6349,0.00012462274700559688,31
LRRC1,0.6349,0.00012462274700559688,31
KLHL36,0.6347,0.00012539606543638136,31
GTDC1,0.6347,0.035916649381401294,11
APTX,0.6345,0.00012651191208534678,31
VAV3,0.6345,0.00021860541903809884,29
FRRS1,0.6344,0.0001267725193045951,31
CPNE2,0.6343,0.00012707327844637672,31
TOM1,0.6343,0.00012733491214868088,31
HLA-DQB1,0.6343,0.00012703352593277783,31
LGALS8,0.6342,0.00012767675381327907,31
ELOVL7,0.6342,0.04893541016356011,10
STXBP6,0.6341,0.0015289666300204625,22
ATP7A,0.6339,0.0001289952440517896,31
MYH7,0.6339,0.0001289542949233005,31
SPAG5,0.6335,0.0008906554679755445,24
FN3K,0.6333,0.00013121087366193895,31
RALA,0.6331,0.00013237391194447802,31
SRA1,0.6331,0.00013237391194447802,31
CXCL13,0.6331,0.00013233097475890952,31
ATP1B1,0.6331,0.00013233097475890952,31
SLIT3,0.6331,0.00013233097475890952,31
ASCC2,0.6329,0.00013323080533220841,31
SLC35C1,0.6329,0.0005203036637010043,26
OTUD6B,0.6327,0.00013381935912711582,31
MYOM2,0.6327,0.00013404868210251035,31
ARFGEF1,0.6326,0.00013436633209595248,31
PLEKHG3,0.6326,0.00013436633209595248,31
GALM,0.6325,0.0001346404404074277,31
NUDC,0.6325,0.0001346404404074277,31
CCN2,0.6325,0.0002318839532989864,29
PPP3CB,0.6325,0.00013468467050433005,31
LRRFIP1,0.6324,0.00013523461771979066,31
PHF6,0.6324,0.00013504775082514314,31
SIRT2,0.6323,0.00013551021573818422,31
SYPL2,0.6323,0.00013551021573818422,31
RDH10,0.6323,0.00013551021573818422,31
ISYNA1,0.6322,0.00013610789960703413,31
SLC25A32,0.632,0.001601992993690266,22
CYP27A1,0.6319,0.00013754381922932683,31
ASPH,0.6318,0.00013791563406154056,31
RPS4Y1,0.6318,0.00013786955228640917,31
PI4K2B,0.6318,0.0001375898653309644,31
RPS2,0.6316,0.00013847677078377226,31
STX6,0.6315,0.0001390395993552203,31
TIGAR,0.6314,0.00013936876615679215,31
PDK3,0.6313,0.000139934641760044,31
ATP2C1,0.631,0.0001412161186921101,31
HOOK3,0.631,0.00014116812835956758,31
UEVLD,0.631,0.00014145391994870734,31
EPHA4,0.631,0.00014116812835956758,31
DHRS7C,0.6309,0.0021672347832446576,21
PTPN6,0.6308,0.00014236288163577024,31
EML1,0.6308,0.00014236288163577024,31
PLA2G4F,0.6307,0.001649400641367348,22
MUC5B,0.6307,0.00014265064734034878,31
DTX3,0.6306,0.0005528865263259027,26
PPP1R1B,0.6306,0.0001429388438004281,31
PLCD4,0.6305,0.0005544668043455277,26
STC2,0.6305,0.005025142219255446,18
PPM1L,0.6304,0.00024710147825859733,29
ITGB4,0.6304,0.00014424634359933372,31
EDIL3,0.6303,0.00014448730658275503,31
AK1,0.6303,0.0001445374825461155,31
TCHH,0.6302,0.00014477861890859798,31
POFUT1,0.6302,0.00014482905641883612,31
ABCD1,0.6302,0.00014477861890859798,31
AGPS,0.6301,0.00014541351048759124,31
USP8,0.63,0.0001458587523450502,31
LPCAT2,0.6298,0.0001466394554533873,31
SLCO2A1,0.6297,0.00014728179731906133,31
SERGEF,0.6297,0.00014728179731906133,31
BCL11A,0.6296,0.002935145292580748,20
IRS1,0.6296,0.00014792674416303983,31
MTARC2,0.6296,0.00014792674416303983,31
CD68,0.6294,0.028319671295760004,12
ARHGAP30,0.6293,0.00014922449162679707,31
MCM3,0.6287,0.000152046372261712,31
CNFN,0.6286,0.002993820807181272,20
MACO1,0.6284,0.00015337701185915665,31
DHX29,0.6283,0.00015399030473233977,31
MT1F,0.6281,0.003983053847639697,19
ASB6,0.6281,0.0002645083287405509,29
IGFBP7,0.6281,0.00015497054343146488,31
GIPC2,0.628,0.0010182286781744978,24
MCTP2,0.6277,0.0004570256290555373,27
EIF3E,0.6277,0.00015694770169918734,31
PMVK,0.6277,0.00015694770169918734,31
IL16,0.6277,0.00015694770169918734,31
PCP4L1,0.6276,0.0003502931960700981,28
CD99L2,0.6275,0.0001576311998681927,31
ERN2,0.6275,0.007011345696595818,17
WIPF1,0.6275,0.00015794467597976324,31
IKZF1,0.6274,0.00015825861183081828,31
DNM1,0.6274,0.0007879420046199651,25
KCTD10,0.6273,0.00015863213793155474,31
STK4,0.6273,0.00015863213793155474,31
ZNF217,0.6272,0.00015932236963688766,31
TXNDC5,0.6271,0.0001596387295158353,31
BTN3A3,0.627,0.0002728798732006507,29
AGFG1,0.627,0.00016027283885742673,31
STX8,0.6267,0.0001616689842529168,31
HDHD3,0.6267,0.0001616689842529168,31
TMCC1,0.6267,0.0001616689842529168,31
FBXL18,0.6266,0.00016217185548571064,31
GRK3,0.6264,0.016541935428871193,14
