gene,spearman_r,p_value,n_samples
NUDCD2,0.502,0.0005166139569621556,44
LMF2,0.5019,0.0005179820489815067,44
CALHM2,0.5018,0.0007095008851919432,42
BZW1,0.5017,0.000522076009250345,44
GTPBP1,0.5017,0.0005207064950507207,44
CISD1,0.5017,0.0005215366852448914,44
DMD,0.5017,0.0040370095638746824,31
NAPG,0.5016,0.0005226320132860352,44
RC3H1,0.5016,0.0005234606173058235,44
ABHD12,0.5016,0.0005223477908720872,44
CC2D2A,0.5015,0.0015660110811217087,37
ZNF276,0.5015,0.0005240135286956567,44
DAXX,0.5015,0.0005251138757057325,44
TSC1,0.5015,0.0005242866372592358,44
ALMS1,0.5014,0.0005259423343094926,44
MIDEAS,0.5014,0.000526223163787003,44
ACADVL,0.5013,0.0005273247020341577,44
GNPAT,0.5013,0.0005281627127365421,44
TSPO,0.5013,0.0005284411591102388,44
MPP5,0.5011,0.0005315013805710815,44
PRPF38B,0.5011,0.0005309444697423294,44
CCNY,0.501,0.000531783888102962,44
NRK,0.501,0.012642861788511147,24
ALDH9A1,0.501,0.0005329023412529867,44
VSIG10,0.501,0.0018562168996563609,36
IFT74,0.5009,0.0005340206911355609,44
RBMX,0.5008,0.0005359865274589256,44
PTS,0.5008,0.0005354270644449125,44
HNRNPH3,0.5008,0.0005351455836649762,44
ARL1,0.5008,0.0005357067455084868,44
GDF11,0.5007,0.08137738388003872,13
C1orf194,0.5007,0.0048278522976426185,30
TOP2B,0.5007,0.0029993211578790966,33
FEM1B,0.5004,0.0005413588054437187,44
STARD3NL,0.5003,0.0013816441791857637,38
FAM126B,0.5002,0.0005444873691609446,44
ACAD8,0.5002,0.0005447738698602715,44
FITM2,0.5001,0.0007447093810118324,42
NME3,0.4998,0.0005513757214402773,44
WDR54,0.4998,0.0005513757214402773,44
SPA17,0.4997,0.0007533221685568319,42
DVL2,0.4995,0.0005568828743057042,44
USP46,0.4995,0.0014090910844627178,38
TRIM68,0.4994,0.0007594033164616495,42
FASTK,0.4994,0.024958658037547356,20
PI4K2A,0.4994,0.0005577572410799614,44
HSD17B8,0.4994,0.0005580497312326849,44
ADGRA2,0.4994,0.0007602731938577002,42
SHKBP1,0.4993,0.000559801964157798,44
CD3EAP,0.4992,0.0005615588419749592,44
JOSD1,0.4991,0.008046035959149395,27
PDIA5,0.4991,0.0005633241905410288,44
RAPGEF5,0.4989,0.02133196854013772,21
BPI,0.4989,0.0005674581617584432,44
DPH1,0.4986,0.0005722087929715063,44
CLPP,0.4985,0.0005728073967738826,44
CCDC47,0.4985,0.0005731052612408128,44
RPS3A,0.4985,0.0005740030418332168,44
SRSF4,0.4984,0.0005752044757043501,44
COG4,0.4983,0.0005763971548555984,44
EIF1AD,0.4983,0.0005770111764413633,44
EIF5A,0.498,0.0005812240376729419,44
CHML,0.4979,0.000583644111097819,44
MRPL58,0.4979,0.0005842542458807004,44
SLIRP,0.4978,0.0005860831860409438,44
LRIF1,0.4977,0.0005879119578699667,44
TARDBP,0.4976,0.0005882218798855175,44
OSTF1,0.4975,0.000591290385108627,44
SSBP4,0.4974,0.0023648633027225884,35
BTF3L4,0.4971,0.000597464934968801,44
ID4,0.497,0.01582758646448303,23
RHOJ,0.4969,0.0032610315920387364,33
PKMYT1,0.4968,0.0009530844519336238,41
WDR18,0.4967,0.0006043275661306334,44
PITPNA,0.4966,0.0006065103412984827,44
AK1,0.4966,0.0006068310342952674,44
RANGAP1,0.4965,0.0006084032148080541,44
GLS,0.4964,0.0006093517197304104,44
KDM7A,0.4963,0.022126768138544976,21
ZNF821,0.4962,0.011633294253211364,25
ESPL1,0.4962,0.026051464707248898,20
SRPX2,0.4962,0.0006131409506574565,44
PHB,0.4962,0.000613159570580005,44
PMM2,0.4961,0.0006147464820761826,44
RPS6KB1,0.4961,0.0006163465776548132,44
PANK4,0.4961,0.0006157041612505323,44
SGSM3,0.496,0.0006179208870443743,44
SCRN2,0.4959,0.0006182481999623853,44
COP1,0.4957,0.0006230646100005195,44
SLC25A17,0.4957,0.0006233840069961043,44
KCTD21,0.4957,0.000622415447306237,44
WDR6,0.4956,0.0006246627244373134,44
LTBR,0.4956,0.0006243428756216996,44
RAP1B,0.4956,0.0006253253513234033,44
MTF1,0.4954,0.0006279149517611722,44
RERG,0.4952,0.0008560046473656274,42
P4HTM,0.4952,0.000632128173863073,44
GRPEL2,0.495,0.0008603744486474985,42
TTC7B,0.495,0.0006360662996369658,44
MON1B,0.495,0.0006360662996369658,44
MTG1,0.4949,0.0006380569388450945,44
RNF126,0.4949,0.0006380174154509857,44
GPBP1L1,0.4948,0.0010056136405480801,41
CDK4,0.4948,0.0006400003498854797,44
ICMT,0.4947,0.0006420028463334969,44
HIKESHI,0.4947,0.0006413346766162461,44
TUBA1C,0.4947,0.0006409939740836993,44
RNF149,0.4946,0.0006429855460833508,44
PRPF6,0.4945,0.0006449685639801923,44
SLC2A13,0.4945,0.0006449685639801923,44
NDUFA8,0.4944,0.0006462983253881055,44
KBTBD4,0.4943,0.0008781164641597941,42
SHROOM1,0.4943,0.0006492954869759202,44
AGA,0.4943,0.0006489652190676485,44
FASTKD2,0.4942,0.0006506484820669551,44
NUS1,0.4942,0.0008795670848941155,42
HECW2,0.4941,0.0006529840461756695,44
ROMO1,0.494,0.0006539961949419338,44
ITK,0.4939,0.0034905796895369984,33
RNF167,0.4937,0.0008915884678541103,42
SIDT2,0.4937,0.0006604182804785157,44
TPM1,0.4936,0.0075958859959944945,28
GDI1,0.4934,0.0006668972399776782,44
BTN2A1,0.4933,0.000668606003572382,44
RANBP2,0.4933,0.0006672351016314563,44
EVA1C,0.4932,0.02711420494194422,20
POLA2,0.493,0.0026214093775431893,35
ORC4,0.493,0.0006741148716747429,44
RADX,0.4929,0.019754818076220565,22
ADAM12,0.4928,0.0030652110235919795,34
SELENOT,0.4926,0.0006810377427424927,44
RPS27L,0.4922,0.0006887587413851375,44
SIN3A,0.4921,0.0006923225800522913,44
VPS13D,0.492,0.0006937174394386069,44
CCN4,0.4919,0.006718150121900642,29
MANF,0.4919,0.0006962089987144146,44
SLC11A1,0.4919,0.0019864866200879827,37
HSP90B1,0.4918,0.0006983345786158314,44
HIVEP2,0.4918,0.0009405023965151219,42
SERPING1,0.4918,0.0006979605743269553,44
GRK5,0.4917,0.0006990598655476081,44
MRPS24,0.4917,0.0006990598655476081,44
CYP4B1,0.4916,0.0007026261827819466,44
CCDC68,0.4915,0.0031558540209858077,34
OARD1,0.4915,0.0007037328053741193,44
PAGE2B,0.4914,0.00791063118937094,28
RAP2C,0.4914,0.0007065870318083663,44
DUSP12,0.4913,0.0007080300964819325,44
TMEM87B,0.4912,0.0007095007985479036,44
GIMAP1-GIMAP5,0.4912,0.10484315847730585,12
TIMM17B,0.4911,0.001293396246462709,40
CSNK2A1,0.4911,0.0007127318712880683,44
MRPS22,0.491,0.0007145435730019061,44
NHLRC1,0.4909,0.1496556734208368,10
SIDT1,0.4909,0.1496556734208368,10
CAPN6,0.4909,0.12520440713849548,11
TAF4,0.4909,0.0007167175627739902,44
BEND5,0.4909,0.12520440713849548,11
BST1,0.4907,0.0007193102849352537,44
SF3B5,0.4906,0.000722606491020738,44
GON4L,0.4906,0.0007222456555146272,44
TATDN3,0.4903,0.0007278135228351827,44
ZNRD2,0.4903,0.0007289036581715027,44
WDR35,0.4902,0.0007307518328877166,44
TMEM181,0.4901,0.0007333635865744281,44
ERCC5,0.4901,0.01504740866881336,24
NSMCE4A,0.4901,0.0007333343699934983,44
BCORL1,0.4901,0.0032601025781125504,34
ETFDH,0.49,0.0007344896995448565,44
ZFYVE16,0.49,0.0007344603344827244,44
GUK1,0.49,0.0007356467426339052,44
FKRP,0.49,0.0009890291998054042,42
UNC5C,0.49,0.012902366983396946,25
ZBTB7C,0.4899,0.005148362156183006,31
KIDINS220,0.4899,0.0007367171051829691,44
GRK2,0.4899,0.0007378479156646942,44
PRKAB2,0.4898,0.0007386126818467277,44
CDC42EP1,0.4897,0.0007416188443223897,44
KIF3B,0.4897,0.0007404522496790081,44
RTL8A,0.4895,0.10625237175934595,12
DNAJC8,0.4894,0.0007472927825548425,44
POLR3C,0.4893,0.0007495541861952475,44
CRELD2,0.4892,0.000752194328150067,44
PEBP4,0.4891,0.0007544681123420762,44
DAZAP1,0.4891,0.0007533140590735497,44
ATG4A,0.4891,0.0007540942453526537,44
IL7R,0.489,0.0018357651122709344,38
TMEM168,0.4889,0.0007586912824131596,44
RCBTB1,0.4889,0.001368700176558613,40
TIGAR,0.4888,0.0007598529464021331,44
SCRN3,0.4888,0.0007598868021998562,44
SLC35A1,0.4888,0.008307888444337417,28
INTS14,0.4885,0.0007665134189758999,44
PPIE,0.4885,0.0007668926678386921,44
RBM18,0.4885,0.0013821852631273304,40
STRN,0.4884,0.0007699312553805896,44
ZNF106,0.4884,0.000769550984870766,44
ERCC3,0.4884,0.0007699312553805896,44
DCAF1,0.4884,0.0007687554069081583,44
BCL2L1,0.4884,0.0007702757465749453,44
TRAM1,0.4883,0.0007726331646175697,44
ZNF787,0.4883,0.0007714536154892161,44
HIGD1A,0.4882,0.0007730145802955092,44
IGHV3-53,0.4882,0.00089729345039784,43
FOXP3,0.4881,0.03985953090099978,18
RUFY2,0.488,0.0007778254759400713,44
CUTA,0.4879,0.0007796708113732521,44
DECR2,0.4879,0.0007800550287621557,44
FKBP15,0.4878,0.0007820925523364544,44
MATN2,0.4878,0.005379884741851625,31
DNAI1,0.4876,0.001054537723786482,42
EXOSC6,0.4875,0.0007907611255137312,44
PHF20L1,0.4875,0.000789595783742327,44
CLINT1,0.4875,0.0007892467763845048,44
TCIM,0.4874,0.0029813233725470884,35
EIF2AK1,0.4874,0.004017753103469184,33
RPUSD3,0.4873,0.0019159197566948406,38
GGA2,0.4869,0.0008037753814138666,44
VASH1,0.4867,0.0008088697332118714,44
MAML1,0.4866,0.0008101879890030502,44
PPCS,0.4865,0.0008117758318039927,44
RCAN1,0.4865,0.0022651649292280657,37
RDH13,0.4864,0.000814559628462157,44
CDH23,0.4863,0.15407996514663633,10
PLA2G12B,0.4862,0.003063833442877833,35
IGLV4-69,0.4861,0.001273485586165152,41
PCGF6,0.4861,0.001098277719370358,42
SLC29A3,0.4858,0.0011080709678989427,42
REX1BD,0.4857,0.029920782525592465,20
BEND7,0.4857,0.06642631232518953,15
C3,0.4857,0.0008306727548351043,44
SNW1,0.4857,0.000830720086773844,44
SEH1L,0.4857,0.0008323402200753308,44
EWSR1,0.4856,0.0008332467128591707,44
TNFAIP1,0.4854,0.002010087913096587,38
NIF3L1,0.4854,0.0008386809287748224,44
MCL1,0.4853,0.0008407717618550724,44
NID2,0.4853,0.000840313912442322,44
INIP,0.4852,0.0008424575649600722,44
TBC1D16,0.4852,0.0020155024612964916,38
C12orf57,0.485,0.0008471216964071383,44
ZNF548,0.485,0.0413416060435443,18
EMCN,0.4849,0.0015190603913316236,40
