gene,early_r,late_r,delta_r,early_stage,late_stage,abs_delta,direction
ZFP36,-0.347,0.5364,0.8834,I,III,0.8834,Higher in Stage III
RPS6,-0.0148,0.8071,0.8219000000000001,I,III,0.8219000000000001,Higher in Stage III
TBP,0.4567,-0.504,-0.9607,I,III,0.9607,Lower in Stage III
SPRR3,0.721,-0.261,-0.982,I,III,0.982,Lower in Stage III
BPIFB1,0.5783,-0.4191,-0.9974000000000001,I,III,0.9974000000000001,Lower in Stage III
