label,n_genes,mean_r,median_r,std_r,pct_positive,pct_high
ucec_stageI,11203,0.4161,0.4231,0.2583,94.2,39.5
ucec_stageIII,9139,0.4471,0.4965,0.3151,89.9,49.4
