gene,spearman_r,p_value,n_samples
TTC39C,0.7447,2.3627075992290718e-08,41
MRM1,0.7446,2.3902163430922444e-08,41
GEM,0.7446,2.3815523692232514e-08,41
PDIA6,0.7446,2.385071446739578e-08,41
BEND3,0.7445,2.393454599821129e-08,41
ACE,0.7444,2.4196567759543942e-08,41
UBE4B,0.7444,2.4108926521393927e-08,41
LIPE,0.7443,2.430088499514885e-08,41
ANTXR2,0.7443,2.435319022767183e-08,41
PXDN,0.7443,2.4248677557093398e-08,41
TNFRSF10C,0.7443,2.430088499514885e-08,41
GCFC2,0.7441,2.4708922695087636e-08,41
ATG7,0.7441,2.45698448523629e-08,41
ATAD5,0.7439,2.4921992712473873e-08,41
MTBP,0.7439,3.0283227036636837e-07,35
DHFR,0.7439,2.504936882477395e-08,41
HSPBAP1,0.7439,2.4942110062331852e-08,41
VWA2,0.7438,3.812614907644066e-08,40
COL15A1,0.7438,2.5157028678621923e-08,41
RPRD1A,0.7437,2.5302420305677417e-08,41
C1orf21,0.7437,2.5302420305677417e-08,41
SPTLC2,0.7437,2.524825663221253e-08,41
AMOTL1,0.7437,2.5302420305677417e-08,41
IVD,0.7436,2.5414699177532606e-08,41
GBF1,0.7436,2.5431654182308117e-08,41
SLC44A4,0.7436,4.6791430519670785e-07,34
PHLDB1,0.7435,2.559555336329356e-08,41
PDLIM2,0.7435,2.572621900072043e-08,41
ULBP2,0.7435,0.0014869409170362043,15
CEBPA,0.7434,2.5874689602569096e-08,41
RPRD2,0.7434,2.5857518133201e-08,41
FAIM,0.7433,2.6062380933432046e-08,41
LRP4,0.7432,2.6247325922936236e-08,41
PTGR2,0.7431,2.6286088574036223e-08,41
CILP2,0.7431,6.047671928189797e-08,39
THSD4,0.7431,2.6286088574036223e-08,41
DLX6,0.7431,2.089446217158282e-05,25
ANKRD54,0.743,2.6437551076171917e-08,41
TSPAN8,0.7429,2.6646603649859185e-08,41
CAND1,0.7428,2.6918847804285228e-08,41
CMSS1,0.7428,2.6857173332495265e-08,41
CTSA,0.7428,2.6936533021252786e-08,41
CX3CL1,0.7428,4.887928379700966e-07,34
PRDX6,0.7427,2.6993994578824003e-08,41
LPCAT3,0.7427,2.7109237532705463e-08,41
STAT6,0.7426,2.7287496299047593e-08,41
FGF1,0.7426,6.202811020161394e-08,39
TEK,0.7425,2.7480190099145143e-08,41
SUPT6H,0.7425,2.740390973971323e-08,41
GAA,0.7424,2.76380326407055e-08,41
SDK2,0.7423,2.7737718903931184e-08,41
GTPBP3,0.7423,2.7819647142987344e-08,41
CEBPZ,0.7422,2.7896944607510592e-08,41
CD276,0.7421,2.8038826654068646e-08,41
DCXR,0.7421,2.8116638555954353e-08,41
POFUT1,0.742,2.825959075131653e-08,41
STXBP5,0.7419,2.8566046928555607e-08,41
PPP1R3D,0.7419,2.8426687796558532e-08,41
TWSG1,0.7418,2.8645154864587012e-08,41
SYNE2,0.7418,2.865036219252611e-08,41
MAGED1,0.7418,2.8748266196201103e-08,41
NAA15,0.7416,2.914000786769133e-08,41
RBMXL1,0.7416,2.912129600968688e-08,41
DYNC1H1,0.7416,2.89741795894436e-08,41
CLPP,0.7416,2.9102566284944623e-08,41
SOCS2,0.7415,3.479466167213851e-07,35
GALNT3,0.7415,2.928792953739465e-08,41
VPS13C,0.7414,2.9474317869547604e-08,41
