gene,spearman_r,p_value,n_samples
FAM110C,0.251,0.2999849046675349,19
ADCY9,0.251,0.09248630943640636,46
CHD1L,0.251,0.04046222742816556,67
SNRK,0.251,0.040493095609255486,67
NIPSNAP1,0.2509,0.04056944714887572,67
FITM2,0.2507,0.10072939530426918,44
CHP2,0.2506,0.4573852261533529,11
COX17,0.2506,0.04084657739915559,67
SH3KBP1,0.2505,0.04588073356578034,64
RAC1,0.2505,0.040871485952100085,67
CHD4,0.2504,0.040966938297571566,67
DNAJC13,0.2503,0.04109184460616237,67
HELB,0.2503,0.4094065299096839,13
ERLEC1,0.2503,0.041048106879119875,67
HINT1,0.2501,0.04127141486205287,67
CHD7,0.25,0.3331701359154762,17
TCTN1,0.25,0.3688462917839305,15
NUP205,0.25,0.041336287826857235,67
HERC2,0.2499,0.04138448046939343,67
SLIRP,0.2498,0.04146209788122616,67
C12orf57,0.2498,0.04149572862681597,67
VKORC1,0.2497,0.04661854441588147,64
PPIL4,0.2497,0.04159876508575916,67
MICU2,0.2496,0.041649318254205835,67
RMC1,0.2495,0.041763191081480563,67
CCT4,0.2495,0.04169565523378323,67
DDX24,0.2494,0.04178235937021213,67
RBBP7,0.2494,0.04183511466069322,67
ISOC1,0.2494,0.04183300415106934,67
ATP5PO,0.2494,0.041803392087785635,67
COX6C,0.2493,0.04194092709146624,67
AP1S2,0.2493,0.04192820045603637,67
KYAT3,0.2493,0.041883833613741726,67
LDB1,0.2492,0.07483677994933466,52
SIGIRR,0.2492,0.04198330744039281,67
TAOK1,0.2492,0.0420110138546828,67
SDK1,0.249,0.11174160398570555,42
RFC3,0.249,0.042134137244746996,67
NCOA2,0.249,0.04218548218535611,67
PI4KB,0.2489,0.04221944398947114,67
POSTN,0.2489,0.042285340904886316,67
MDC1,0.2488,0.04236879380766507,67
CLIC4,0.2486,0.04250132195454822,67
SREBF2,0.2486,0.39138147165073434,14
AMOTL2,0.2486,0.16303839002814702,33
LRRN1,0.2485,0.4887763045192432,10
ZXDC,0.2485,0.4887763045192432,10
KLHL17,0.2485,0.4887763045192432,10
CEP97,0.2485,0.04258099363750244,67
TSKU,0.2484,0.12732032332585658,39
UGT1A1,0.2484,0.3919195389384575,14
TERF2IP,0.2483,0.04272080122653035,67
CRPPA,0.2482,0.05585339014886321,60
FAM20C,0.2482,0.17813891347471345,31
PAFAH1B2,0.2482,0.04288207895424628,67
SSR3,0.2481,0.04290805210074668,67
HNRNPAB,0.2481,0.04295373167302586,67
PHF11,0.248,0.04997738660261076,63
RB1,0.248,0.04300538398725665,67
MPP1,0.2479,0.04309187091846699,67
CD247,0.2478,0.1644674228453053,33
SLC25A46,0.2478,0.04323291795081109,67
BMERB1,0.2478,0.3063609864896264,19
PLA2G12B,0.2477,0.4626935576449721,11
AHCY,0.2476,0.043391944172250084,67
NCAPH2,0.2475,0.2667267574318016,22
RIN2,0.2471,0.04376615350235111,67
MNX1,0.247,0.1405931686212293,37
HMGB1,0.247,0.04389141925727471,67
FAM162A,0.2469,0.04401915665900631,67
ZBTB20,0.2469,0.044012403376241384,67
LONP2,0.2469,0.043949656449868146,67
KIAA0556,0.2469,0.11498294353731092,42
ZFYVE16,0.2468,0.044087611351721956,67
WDR47,0.2467,0.04414524045236819,67
GPX3,0.2467,0.04417557028307719,67
ABCC2,0.2466,0.30879359682151936,19
YIPF1,0.2465,0.08125703188703062,51
HDHD2,0.2464,0.04444437299336844,67
RHBDF2,0.2464,0.06712746154646969,56
LPGAT1,0.2463,0.04453338441497519,67
CCDC186,0.2463,0.044531189939146086,67
CDC16,0.2463,0.04449311747979805,67
NEFH,0.2463,0.16020686042074234,34
ITM2C,0.2462,0.16040864840466476,34
SRBD1,0.2462,0.04458519337515873,67
EXOSC2,0.246,0.04479717750639988,67
PRKCQ,0.2459,0.07591864804058236,53
MED15,0.2458,0.04495546798720441,67
POMGNT1,0.2457,0.05846320481076773,60
WDR19,0.2457,0.0450509485218866,67
TRAF4,0.2455,0.056533931529622855,61
ETFRF1,0.2455,0.07642288880929306,53
HYI,0.2454,0.04531827087692774,67
DNAJB6,0.2454,0.045359861881684255,67
MSRB2,0.2452,0.04550632484817668,67
MRPL33,0.2451,0.04556333619397513,67
RXRB,0.2451,0.045604816895931835,67
CPNE7,0.2451,0.1380052503126495,38
PPP1R35,0.2451,0.2597363987829854,23
CCDC32,0.2449,0.055008637412733694,62
ISCU,0.2448,0.045845667121996045,67
LNX2,0.2446,0.34401225484861603,17
RTRAF,0.2446,0.04602768791966408,67
STX8,0.2445,0.046138034547313515,67
C1QC,0.2444,0.04622003406689845,67
HLCS,0.2443,0.04988407065038962,65
MRPS18A,0.2443,0.046355929033147225,67
AGL,0.2443,0.04635143021678257,67
APTX,0.2442,0.0464511782740412,67
HPS4,0.244,0.09838725986671054,47
MYD88,0.2439,0.04668339198830127,67
PDGFA,0.2438,0.11517979779823373,43
EIF1AD,0.2437,0.050438627424515714,65
QARS1,0.2437,0.04685396326433139,67
COX20,0.2436,0.05241675194140109,64
SERF2,0.2435,0.04710151603955725,67
DCAKD,0.2435,0.047072812715646166,67
SCRN1,0.2435,0.04706958269207215,67
TUBA4A,0.2434,0.04713415512174873,67
PHC2,0.2434,0.04717751773025914,67
SSNA1,0.2434,0.05074025246541598,65
FANCI,0.2434,0.0992730385628901,47
PRMT8,0.2433,0.15899889157418934,35
HPRT1,0.2433,0.047295566266593904,67
BTBD1,0.2432,0.09948137827415646,47
UBR7,0.2432,0.04734997891433653,67
TSPAN14,0.2431,0.04743359397705184,67
MSL2,0.2431,0.3016463476551636,20
CREB3L1,0.243,0.3644749237360595,16
AHDC1,0.243,0.05919099221829764,61
MFSD5,0.2429,0.38312834183934164,15
MTG1,0.2429,0.051178410319834285,65
EMC1,0.2425,0.048022196648514495,67
CCT6A,0.2423,0.04824147414508177,67
PEBP1,0.2423,0.04820401716577794,67
SURF1,0.2421,0.04837018899731109,67
DNAJB2,0.2421,0.04839276657405845,67
SLC20A1,0.2421,0.23343764508876527,26
TTC7B,0.242,0.05208728393381054,65
PSMA4,0.2419,0.0486255419109878,67
DUSP23,0.2418,0.04868533717249071,67
NUP42,0.2417,0.04877682523123082,67
RPL7L1,0.2416,0.04887565699906132,67
GTPBP1,0.2416,0.04883552059331912,67
TUBB2B,0.2415,0.0677936504559391,58
BCL3,0.2414,0.12835554160107965,41
MAP3K4,0.2414,0.0490922461337417,67
PCIF1,0.2414,0.04903801030689717,67
CAMKK1,0.2413,0.07875810985797908,54
TRAPPC3,0.2411,0.04933200779031598,67
GJB3,0.241,0.17671732441599347,33
GAREM1,0.241,0.2355681346933715,26
TNIP1,0.241,0.04941659478388399,67
AVEN,0.2409,0.049596902498504916,67
SP3,0.2409,0.049526117923798955,67
EZHIP,0.2408,0.20829747532651446,29
TOMM22,0.2408,0.04964359535045328,67
DDX31,0.2407,0.049709112515024724,67
SNRPE,0.2407,0.055383234267913105,64
RDH14,0.2405,0.04994741902928926,67
IGSF3,0.2405,0.24680355813588067,25
GTF2A1,0.2405,0.04999218001849873,67
COX4I1,0.2403,0.050120039636876154,67
TUFM,0.2402,0.050247409986983155,67
SHFL,0.2402,0.05023246468803144,67
SPPL2B,0.2401,0.12096211208328425,43
RUSC2,0.2401,0.3704975579526915,16
FBXL6,0.2401,0.13563710579617616,40
FOXK1,0.2401,0.05034663476603788,67
MTHFR,0.2399,0.05054323047910215,67
DNAJB4,0.2399,0.05054954912508336,67
POLR1D,0.2398,0.050613660191722046,67
C2orf49,0.2398,0.21028082413256943,29
OS9,0.2397,0.0838290756544941,53
HECW2,0.2396,0.25942937550113476,24
SUGP2,0.2395,0.05096474817098052,67
IGLV6-57,0.2392,0.06562618361394415,60
SGTB,0.2391,0.05135276884455967,67
RIPK2,0.2391,0.05128705946887636,67
ZNF384,0.239,0.05717799880702679,64
GRHPR,0.239,0.05147369721555701,67
EML3,0.2389,0.05155249636606243,67
NAA80,0.2388,0.24014467008840204,26
PES1,0.2387,0.05177811496260518,67
VRK2,0.2386,0.05180160120641979,67
WDR81,0.2385,0.05198214052142599,67
CLCN7,0.2385,0.05194262754122873,67
LTO1,0.2384,0.1744588968564063,34
HNRNPA3,0.2383,0.052120933618974935,67
YRDC,0.2382,0.05222289874342018,67
RGS14,0.238,0.05249128418026767,67
CDC5L,0.238,0.052427221671057636,67
TMEM259,0.238,0.35756393656345126,17
MTTP,0.238,0.0524000672012856,67
TSHZ1,0.2379,0.41281004678449285,14
PDSS2,0.2379,0.0747550285800042,57
MANBA,0.2379,0.05250487428300903,67
MRPL58,0.2379,0.05254128701260029,67
