gene,spearman_r,p_value,n_samples
BICDL1,0.7709,0.00018055675377341658,18
RTN1,0.7708,9.35707805280968e-13,59
DTL,0.7708,9.313122060598555e-10,44
NFIA,0.7708,9.313212687753811e-13,59
TPPP,0.7708,9.32937027665916e-13,59
YWHAZ,0.7705,9.670349645207015e-13,59
SLC25A21,0.7704,3.909624089374756e-08,36
DAB2,0.7703,9.891228028311815e-13,59
DYSF,0.7703,9.84038504183378e-13,59
TRIM21,0.7701,1.0060211873342594e-12,59
MAP2,0.7695,1.0739994644641044e-12,59
DNMT1,0.7695,1.0750463999028799e-12,59
STRBP,0.7695,1.0745081261579153e-12,59
CST7,0.7695,1.0366403402049336e-08,39
UCK2,0.7694,1.0872050680039168e-12,59
USP54,0.7693,1.1013726994867483e-12,59
CXADR,0.769,1.1343841648961563e-12,59
PCP4,0.7689,1.1491450724398794e-12,59
PGP,0.7686,1.1815001197078921e-12,59
SOX9,0.7685,2.9459265319233218e-05,22
RPS4Y1,0.7682,1.2343974011352139e-12,59
TMPO,0.7682,1.2307683740838479e-12,59
CENPK,0.7682,7.318888843321829e-06,25
TMPRSS4,0.768,7.760028811885987e-12,55
PUM1,0.7679,1.28201913940219e-12,59
EPS8L2,0.7679,1.281695380341168e-12,59
LILRA2,0.7679,0.0008293296291369941,15
RFTN1,0.7678,1.2882418629216438e-12,59
APP,0.7677,1.306161807051486e-12,59
FABP5,0.7677,1.3004794063338288e-12,59
CTSW,0.7676,5.145205095222133e-12,56
SH3RF1,0.7675,1.3384979412873864e-12,59
PAPSS2,0.7674,1.3420771088374985e-12,59
SEC14L2,0.7671,1.3933690989160313e-12,59
FHOD1,0.7669,1.421209995532943e-12,59
MTHFD1,0.7668,1.4395299063711369e-12,59
CAMK1D,0.7667,1.4534420970676152e-12,59
PLCG2,0.7667,1.449269722927039e-12,59
LGALSL,0.7665,1.4918099090093516e-12,59
PLA2G10,0.7664,3.5403600625044456e-11,52
ASRGL1,0.7663,1.5211120719755378e-12,59
FAS,0.7661,1.5496032093179685e-12,59
RAB7B,0.7657,1.528260866073739e-11,54
IGHV5-10-1,0.7656,9.848785050587355e-12,55
ARHGAP29,0.7656,1.6328683198541511e-12,59
SCUBE2,0.7656,3.635282515511886e-10,47
GPT2,0.7655,1.6458037390495014e-12,59
HSD17B2,0.7654,2.1143206626111163e-07,33
MUC21,0.7654,1.320945895332948e-06,29
MMRN1,0.7652,1.7019149084277411e-12,59
RMND1,0.7651,1.7257435870512516e-12,59
LRRFIP2,0.7651,1.7172217884999724e-12,59
SPAG1,0.7651,1.7150416616949595e-12,59
GLCCI1,0.765,1.7419159702316223e-12,59
RHPN2,0.765,1.7339744696731078e-12,59
PGD,0.7649,1.7637041007237852e-12,59
CHAT,0.7648,0.002324138984680086,13
BAG2,0.7647,1.8029529025113663e-12,59
TNIK,0.7646,1.8158343811609535e-12,59
RBP5,0.7646,1.8128542348376173e-12,59
TACC2,0.7644,1.8507794538103203e-12,59
UBE2Q1,0.7642,1.8937821161525594e-12,59
RASA1,0.764,1.932976635030473e-12,59
ODF2L,0.7636,0.006233059747904754,11
NLE1,0.7635,2.045369962511304e-12,59
ACSL5,0.7634,2.068670651863297e-12,59
SPTBN2,0.7633,2.090941154025161e-12,59
FKBP4,0.763,2.14311164388939e-12,59
COBL,0.763,2.1598408695892463e-12,59
EHHADH,0.7628,2.2061515913040574e-12,59
EIF1AY,0.7627,2.2105403529649253e-12,59
GSTM3,0.7627,2.2142784985560246e-12,59
F13A1,0.7624,2.3011197950483503e-12,59
TTC39B,0.7624,2.286334355659888e-12,59
CAPNS2,0.7622,0.003950448972542647,12
SLC22A18,0.7621,2.359993646649218e-12,59
TMEM263,0.7621,2.358957306422792e-12,59
LAMB3,0.7621,2.3538044351461163e-12,59
GALNT10,0.762,2.4009734164389714e-12,59
MX2,0.762,2.3918869664203976e-12,59
DAPP1,0.7619,2.4100931432444718e-12,59
MMP10,0.7618,1.2185458231412669e-09,45
TRAFD1,0.7617,2.4687504192618564e-12,59
DOK4,0.7616,6.893472928144281e-08,36
ZDHHC21,0.7614,2.5494465169450196e-12,59
CRY1,0.7614,0.00024212376044155723,18
PYHIN1,0.7614,2.5427758699823497e-12,59
CEP170,0.7612,2.5973409154796573e-12,59
USP28,0.7612,2.5867775173469046e-12,59
CD38,0.7612,2.595449879129896e-12,59
ADGRF5,0.7611,2.6406827149697727e-12,59
HSD17B13,0.7609,5.890932998501324e-11,52
TNS4,0.7609,9.796553338830222e-05,20
PPAT,0.7608,2.712932520382246e-12,59
USP47,0.7608,0.006545082815417332,11
TOPBP1,0.7608,2.7097912707136767e-12,59
ELMO1,0.7607,2.7398196059359996e-12,59
ANKRD44,0.7605,2.7923286044727575e-12,59
MYEF2,0.7602,1.2676040802283235e-08,40
GRAMD2B,0.76,2.9471012822231953e-12,59
ARHGAP44,0.7599,2.9774675395898577e-12,59
RAB17,0.7599,7.185677450745749e-12,57
PDGFRL,0.7597,3.0276976621704145e-12,59
ACTG2,0.7595,3.0912545862346116e-12,59
DNAJC3,0.7593,3.1656450584834754e-12,59
PDIA3,0.7592,3.1875196238674394e-12,59
UBAP1,0.759,3.2651249532742787e-12,59
CASP1,0.7589,3.3037632768418125e-12,59
SULF1,0.7589,3.3175419306077283e-12,59
SPINT1,0.7588,3.3185696279315392e-12,59
CPPED1,0.7588,3.3435097281694903e-12,59
SPTLC3,0.7587,8.067367607739872e-12,57
ARHGEF26,0.7587,3.374250946073986e-12,59
SLC25A13,0.7585,3.4551295761603282e-12,59
TPD52,0.7584,3.4817791906113394e-12,59
AIF1L,0.7583,3.49988290227362e-12,59
SLC2A10,0.7583,4.809420273245263e-11,53
ATP7A,0.7581,3.5836305319230038e-12,59
FHOD3,0.758,1.2284749348924834e-06,30
TDG,0.7578,3.692908946729428e-12,59
EPDR1,0.7578,3.704009817146926e-12,59
TNFRSF18,0.7577,1.1529764999561723e-05,25
SCYL2,0.7576,3.756912998537501e-12,59
BCL2L1,0.7575,3.813662784974633e-12,59
CDCP1,0.7575,3.799832645502062e-12,59
PRKCB,0.7574,3.838158314834858e-12,59
GCLC,0.7571,3.978897574485187e-12,59
CD47,0.7571,3.974054314704466e-12,59
RAB6B,0.757,4.011500191467785e-12,59
FNDC1,0.7569,4.063040696782583e-12,59
GREM1,0.7569,4.0388283138775416e-12,59
CBLB,0.7569,4.071564399175708e-12,59
CETN2,0.7567,4.157927532240944e-12,59
HOMER3,0.7565,4.239520023131469e-12,59
SRI,0.7565,4.220096600228149e-12,59
GPD1L,0.7564,4.2535605698842815e-12,59
ITPKB,0.7563,4.2917752970575185e-12,59
KIAA1324,0.7561,4.411916138441391e-12,59
DNAJA2,0.7561,4.41976863418775e-12,59
GART,0.7561,4.383647097096429e-12,59
SPATS2L,0.756,4.4215350030102945e-12,59
HMMR,0.756,2.625583730770817e-08,39
CAPS,0.7558,4.53311725391807e-12,59
CCND1,0.7556,9.527353321591332e-11,52
PDLIM3,0.7555,4.669815376696577e-12,59
CYP4X1,0.7555,4.6821539627988215e-12,59
GINS4,0.7554,1.7261589867180673e-11,56
MTARC1,0.7552,4.826619285146423e-12,59
SNAI2,0.7552,0.004508435484294223,12
ASCC3,0.7552,4.815521480294767e-12,59
FCHSD1,0.7551,4.8678073741451445e-12,59
WFS1,0.7551,4.871037219134283e-12,59
PARP2,0.755,4.922257997195811e-12,59
METTL7A,0.755,4.929404093189746e-12,59
TMEM63B,0.7549,4.984511097243556e-12,59
CACNA2D2,0.7549,4.957031536496706e-12,59
SSBP2,0.7548,5.008503787576381e-12,59
NAA15,0.7548,5.0194120797245995e-12,59
PHGDH,0.7547,5.055132173918249e-12,59
HRC,0.7546,4.4367269412571106e-08,38
LRATD2,0.7545,5.149339323454226e-12,59
FRMD6,0.7544,5.2472630631087784e-12,59
CTSH,0.7542,5.3332720902005475e-12,59
SEZ6L2,0.7541,5.37677442535349e-12,59
ACOT7,0.7539,5.510920857717766e-12,59
WWC1,0.7538,5.541344894639343e-12,59
OARD1,0.7536,5.650448784816374e-12,59
PSMB9,0.7536,5.658891678793093e-12,59
KIAA1671,0.7534,5.778563381035442e-12,59
LIG1,0.7534,5.786941829438361e-12,59
DAAM2,0.7532,2.7896489865590533e-10,50
KRT7,0.7531,5.986080780752582e-12,59
OSBPL5,0.753,6.043373405618895e-12,59
GRAMD4,0.7529,6.083328609463895e-12,59
SPAG9,0.7529,6.0923589126196345e-12,59
SIPA1L1,0.7529,6.0787091284624685e-12,59
GALNT3,0.7528,6.139393146153511e-12,59
HACD1,0.7527,0.002982233389169851,13
GYS1,0.7527,6.184224559114986e-12,59
CDC20,0.7526,4.371370793143906e-07,33
CRABP1,0.7526,6.284764777498049e-12,59
CEACAM1,0.7525,6.307953098034235e-12,59
CYFIP2,0.7524,6.396289038126702e-12,59
GCLM,0.7523,6.4360527890364935e-12,59
ZNF853,0.7519,8.462836509502957e-05,21
HMGA2,0.7517,2.4587807480758096e-11,56
COMP,0.7517,6.8632299949683585e-12,59
UNG,0.7516,6.9461583364186886e-12,59
NANP,0.7516,6.930820015675506e-12,59
DOCK8,0.7514,7.055781185314642e-12,59
NPC2,0.7511,7.309150509937781e-12,59
NUCB2,0.7511,7.243006521570975e-12,59
IGHG3,0.751,7.367820433260743e-12,59
CBX2,0.751,1.1218381420331228e-11,58
GALNT7,0.7507,7.593085922212905e-12,59
MGLL,0.7507,7.582110224899474e-12,59
CCDC186,0.7507,7.579264407256059e-12,59
PIK3C2A,0.7505,7.687263252926129e-12,59
LIMK2,0.7505,7.692823866613667e-12,59
TRAF5,0.7502,7.962161277780289e-12,59
ESPN,0.7502,1.0077071917092836e-10,53
DGKE,0.7502,1.3850520913999697e-07,36
UBE2T,0.7498,4.469286814168704e-11,55
NDNF,0.7498,8.261292609059275e-12,59
MGAT3,0.7495,0.002030145549100647,14
AASDHPPT,0.7494,8.623824155694296e-12,59
EML4,0.7494,8.648782780774703e-12,59
FAM210A,0.7494,8.645681953708424e-12,59
ZNF185,0.7493,3.08412057189334e-11,56
WEE1,0.7491,1.1121208706832604e-10,53
PRSS22,0.7491,2.120025953798827e-09,46
LARP1B,0.749,8.953107710022393e-12,59
GALNT5,0.749,8.930456316784794e-12,59
SDF2L1,0.7489,9.086016695078072e-12,59
NOL11,0.7489,9.046939650329079e-12,59
PKIB,0.7486,3.288608695547849e-11,56
APOL3,0.7485,9.381399861605337e-12,59
GSTCD,0.7484,9.544606064229122e-12,59
OCLN,0.7484,9.503348227010828e-12,59
DGKG,0.7483,9.572560831036207e-05,21
KDF1,0.7482,5.197358857316258e-11,55
LRPPRC,0.7481,9.748524022349311e-12,59
NR4A1,0.7481,2.3930748047967905e-07,35
MAP4K1,0.748,9.857502361986243e-12,59
DTYMK,0.7477,1.0224008677620312e-11,59
FAM160A1,0.7475,1.0356593517999058e-11,59
SLPI,0.7472,1.0702056723822045e-11,59
PPL,0.7472,1.0740734387142707e-11,59
PSME3,0.7471,1.0764002245248305e-11,59
SPRTN,0.7471,2.7331043172408387e-05,24
LMOD1,0.747,1.0925834856001151e-11,59
SLC34A2,0.7469,1.1019694096350974e-11,59
PDCD4,0.7469,1.099247576276522e-11,59
CXCL1,0.7469,8.886307039396413e-11,54
NAA25,0.7468,1.1067487992785626e-11,59
MLPH,0.7468,1.1098693633278687e-11,59
TRAC,0.7467,5.035068938690422e-06,28
OTULIN,0.7465,1.148494842264841e-11,59
PDIA4,0.7465,6.02947310226211e-11,55
NASP,0.7465,1.1411956452948826e-11,59
SLC20A2,0.7464,1.1558365516115459e-11,59
S100A16,0.7461,1.1895665147155802e-11,59
FSCN1,0.7461,1.192090241889789e-11,59
TBC1D4,0.746,1.2070379368756633e-11,59
CIAPIN1,0.746,1.2061681922524773e-11,59
CAMK2D,0.7459,1.830843779022212e-11,58
ADGRE5,0.7459,1.2173590388460024e-11,59
NAPSA,0.7457,1.2311931358807332e-11,59
LIMD2,0.7455,1.2567700936303816e-11,59
KRT17,0.7455,1.2670057067297187e-11,59
CHDH,0.7453,1.2842079215361299e-11,59
LGALS4,0.7453,1.2837115966683912e-11,59
STRAP,0.7452,1.2928589285432979e-11,59
DLG3,0.7452,1.2974561226068218e-11,59
PTPN13,0.745,1.3261807922806062e-11,59
SLC15A2,0.7448,1.3436307289133766e-11,59
MACC1,0.7448,1.3469060037265779e-11,59
NOVA1,0.7448,1.9552023933848927e-05,25
ABI3BP,0.7446,1.3743151728196418e-11,59
USP10,0.7446,1.3753868824938712e-11,59
YBX2,0.7444,5.579810391506226e-06,28
ADGRG3,0.7443,3.8443892256068696e-10,51
ASS1,0.7442,1.4245789681791425e-11,59
MUC4,0.7442,1.4300936852688734e-11,59
