label,n_genes,mean_r,median_r,std_r,pct_positive,pct_high
lscc_stageI,11560,0.5141,0.5554,0.2608,95.5,58.0
lscc_stageII,11670,0.5446,0.5902,0.2568,96.4,62.3
lscc_stageIII,10830,0.5107,0.5568,0.2766,94.5,57.1
